이름,Power,Contact,Defense,Batting Eyes,Mentality,Speed
노시환,90,50,53,79,43,33
김혜성,28,66,64,70,43,89
최정,89,51,53,70,43,43
양의지,54,72,72,66,42,33
오스틴,69,70,53,61,43,58
홍창기,16,70,64,89,60,61
구자욱,46,62,53,62,52,55
소크라테스,63,61,53,57,42,64
손아섭,26,72,53,58,47,67
박건우,49,64,53,69,47,43
문보경,43,54,62,68,43,69
에레디아,41,61,54,59,69,44
박민우,17,73,80,55,43,85
정수빈,16,78,77,66,43,97
오지환,38,44,75,78,63,70
강민호,50,53,62,67,42,34
이정후,35,86,79,59,43,60
김도영,39,58,69,57,42,88
박찬호,16,77,82,58,54,79
나성범,74,64,53,52,43,47
최형우,59,52,53,70,67,32
전준우,50,68,53,66,43,58
마틴,56,41,58,68,42,58
박동원,67,36,70,68,43,30
장성우,41,59,68,57,43,19
알포드,55,30,53,61,42,75
황재균,32,63,63,62,72,41
로하스,75,62,53,64,44,47
문성주,17,85,57,75,43,71
안치홍,30,70,53,62,58,33
최재훈,9,69,78,72,50,19
박성한,31,73,59,65,71,41
양석환,63,42,53,50,67,43
채은성,62,49,53,62,46,19
이주형,41,43,53,44,42,65
김선빈,3,95,60,53,54,33
김지찬,1,76,53,58,43,83
피렐라,49,61,53,57,43,34
도슨,25,53,53,46,43,74
박병호,52,27,53,60,48,30
유강남,36,49,71,55,62,23
김상수,16,69,62,67,42,42
김휘집,39,33,53,64,43,23
권희동,32,72,53,64,42,34
노진혁,36,37,66,57,71,57
허경민,31,85,57,50,43,52
최지훈,20,74,53,43,43,98
하재훈,39,43,56,39,42,82
이우성,31,47,53,49,60,39
추신수,46,40,53,75,43,47
김주원,32,43,67,59,56,67
이진영,47,22,77,63,62,51
박해민,18,71,81,53,44,71
김민혁,20,25,53,38,43,75
이재현,43,57,81,61,51,48
박승욱,18,39,70,56,46,79
김재호,21,80,70,55,49,34
서호철,24,65,66,40,46,52
배정대,16,43,53,59,62,64
김현수,24,72,53,64,45,39
이창진,29,57,53,65,42,74
강승호,34,37,53,51,55,71
최주환,73,56,53,51,63,24
김성윤,13,64,61,36,51,100
한유섬,32,44,53,56,43,44
문현빈,27,48,56,45,43,53
류지혁,6,62,56,61,43,67
도태훈,21,52,53,59,43,32
러셀,27,50,53,45,60,37
송성문,25,70,59,53,42,46
구드럼,22,37,53,49,43,25
정훈,42,56,53,52,42,48
김현준,14,60,53,49,60,74
김민성,36,53,53,46,43,32
정보근,28,61,60,50,43,55
김민석,23,40,53,44,42,61
최인호,25,65,53,37,43,70
