이름,순,팀/포지션,정렬용,G,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,득점권PA,득점권%,득점권타율,순수타점,주자,타점%,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAplus,WPAminus,pLI,WPA/LI,Clutch,ph,phLI,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wRC,wRC/27,wRAA,조정wOBA,조정wRC,조정wRC/27,조정wRAA,WRC+,뜬공,땅볼,FO/GO,InP%,방향_내야%,방향_외야%,타율_내,타율_외,내야뜬공_개수,내야뜬공_%,내야안타_개수,내야안타_%,실책출루,포스o출루,번트_안타,번트_아웃,번트_타율,번트_시도,번트_%,타구방향%_좌,타구방향%_중,타구방향%_우,타구방향%_당,타구방향%_밀,타구방향개수_좌,타구방향개수_중,타구방향개수_우,타구방향개수_당,타구방향개수_밀,안타방향개수_좌,안타방향개수_중,안타방향개수_우,안타방향개수_당,안타방향개수_밀,방향별타율_좌,방향별타율_중,방향별타율_우,방향별타율_당,방향별타율_밀,투구수,P/PA,루킹,헛스윙,파울,타격,투구S%,투구B%,배트적극성_전체,배트적극성_초구,컨택%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%,솔로홈런,투런,쓰리런,만리런,좌홈런,좌중간홈런,센터홈런,우중간홈런,우홈런,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,주루기회,RS%,RAA주루,G12_N,G12_%,G23_N,G23_%,G34_N,G34_%,F23_N,F23_%,F34_N,F34_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,EtcAdv,추가진루_N,추가진루_%,추가진루_+-,주루사_N,주루사_%,RAA도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책,타점_순수,타점_주자,타점_%,병살타,병살타_상황,병살타%,잔루,잔루/타석,팀잔루,희생번트,희번실패,희번_%,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G,공격RAA_타격,공격RAA_도루,공격RAA_주루,종합,수비RAA_수비,수비RAA_포지션,수비RAA_종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,dWAA,WAR
강민성,170.0,23K3B,-0.02,12.0,27.0,22.0,2.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,1.0,0.0,0.182,0.308,0.227,0.535,0.263, 51.3 ,-0.02,-0.31,4.0,14.8, .333 ,0.0,11.0, 0.0 ,-1.61,0.0,-1.61,-0.16,-0.31,0.0,0.08,-0.38,0.7,-0.15, -0.29 ,1.0, 1.81 ,0.0,14.8,37.0, 0.40 ,0.046,0.126, .333 , 2.7 ,  ,1.7, 2.44 ,-1.5, .259 , 1.6 , 2.32 , -1.5 , 51.3 ,6.0,2.0, 3.00 , 44.4 , 25.0 , 75.0 , .000 , .444 ,1.0, 16.7 ,0.0, 0.0 ,0.0,1.0,0.0,0.0,  ,0.0,  , 33.3 , 16.7 , 50.0 , 33.3 , 50.0 ,4.0,2.0,6.0,4.0,6.0,2.0,0.0,2.0,2.0,2.0, .500 , .000 , .333 , .500 , .333 ,106.0,3.93,34.3,25.7,21.4,18.6,66.0,34.0,43.4,18.5,60.9, 56.5 , 34.3 ,9.0,1.0, 10.0 ,4.0,2.0, 50.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5, 25.0 , 0.0 , 0.00 ,10000.0,9999.99,9.0, 22.2 ,0.24,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,1.0, 100.0 ,1.0, 100.0 ,0.0,2.0, 100.0 ,1.0,0.0, 0.00 ,-0.02,0.0,  ,9.0, 0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,0.0,0.0,0.0,0.0,11.0, 0.0 ,0.0,6.0, 0.0 ,7.0, 0.259 ,4.0,1.0,0.0, 100.0 ,1.0, 100.0 ,1.0, 100.0 ,0.0, 0.0 ,1.0, 100.0 ,0.0,  ,1.0, 33.3 ,1.0, 25.0 ,2.0, 28.6 ,0.0,-1.6,-0.0,0.2,-1.3,0.8,0.1,0.9,-0.5,-0.5,1.3,0.9,9.64,-0.0,-0.05,-0.03,0.08,0.07
강민호,16.0,23삼C,3.8,125.0,495.0,434.0,60.0,126.0,19.0,0.0,16.0,193.0,77.0,6.0,1.0,49.0,6.0,4.0,65.0,17.0,1.0,5.0,0.29,0.366,0.445,0.811,0.373, 124.6 ,3.8,1.34,165.0,33.3, .302 ,61.0,332.0, 18.4 ,7.08,1.07,8.16,0.82,1.25,0.09,10.52,-9.18,1.14,1.31, -0.14 ,6.0, 2.72 ,3.23,9.9,13.1, 0.75 ,0.154,0.076, .307 , 2.8 , 8.73 ,74.6, 6.07 ,16.3, .368 , 72.6 , 5.91 , 14.3 , 124.6 ,116.0,127.0, 0.91 , 75.6 , 46.1 , 53.9 , .024 , .613 ,39.0, 33.6 ,4.0, 3.2 ,6.0,4.0,0.0,0.0,  ,0.0,  , 43.6 , 29.0 , 27.4 , 43.6 , 27.4 ,161.0,107.0,101.0,161.0,101.0,57.0,44.0,25.0,57.0,25.0, .354 , .411 , .248 , .354 , .248 ,1800.0,3.64,28.2,15.3,22.2,34.3,60.8,39.2,43.6,30.5,78.7, 76.6 , 40.0 ,46.0,19.0, 29.2 ,629.0,43.0, 6.8 ,10.0,3.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,8.1, 27.8 , 45.7 , 0.21 ,30.9,27.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.0, 85.7 ,175.0, 4.0 ,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0, 100.0 , 80.0 , 100.0 ,  ,0.0,0.0,4.0,0.0,1.0,61.0,332.0, 18.4 ,17.0,96.0, 17.7 ,234.0, 0.473 ,114.0,1.0,0.0, 100.0 ,20.0, 60.6 ,11.0, 61.1 ,8.0, 12.5 ,14.0, 37.8 ,10.0, 52.6 ,32.0, 26.7 ,31.0, 48.4 ,63.0, 34.2 ,8.0,14.1,0.4,-1.1,13.4,-0.5,3.7,3.2,12.9,16.6,24.5,41.1,9.86,1.7,3.49,3.42,-0.05,3.74
강백호,87.0,23KDH,0.76,71.0,271.0,238.0,32.0,63.0,10.0,1.0,8.0,99.0,39.0,3.0,0.0,31.0,0.0,4.0,55.0,1.0,0.0,2.0,0.265,0.347,0.416,0.763,0.35, 110.7 ,0.76,-0.53,73.0,26.9, .345 ,31.0,149.0, 20.8 ,3.38,0.88,4.26,0.43,-0.58,0.05,4.18,-4.7,0.98,0.58, -1.12 ,12.0, 1.79 ,2.95,11.4,20.3, 0.56 ,0.151,0.082, .311 , 4.6 , 4.36 ,35.9, 5.45 ,4.0, .347 , 35.3 , 5.36 , 3.4 , 110.7 ,60.0,60.0, 1.00 , 68.3 , 46.5 , 53.6 , .059 , .592 ,20.0, 33.3 ,5.0, 7.9 ,2.0,8.0,3.0,1.0, .750 ,9.0, 33.3 , 29.5 , 25.1 , 45.4 , 45.4 , 29.5 ,54.0,46.0,83.0,83.0,54.0,16.0,19.0,28.0,29.0,15.0, .296 , .413 , .337 , .349 , .278 ,1135.0,4.19,30.0,17.1,26.1,26.8,60.8,39.2,42.6,25.1,75.6, 74.3 , 28.2 ,47.0,8.0, 14.6 ,472.0,39.0, 8.3 ,5.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,8.0, 30.2 , 42.1 , 0.20 ,33.9,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.0, 100.0 ,96.0, 3.1 ,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,  , 100.0 ,  ,  ,0.0,0.0,3.0,0.0,1.0,31.0,149.0, 20.8 ,1.0,53.0, 1.9 ,108.0, 0.399 ,50.0,0.0,1.0, 0.0 ,8.0, 61.5 ,3.0, 30.0 ,3.0, 8.8 ,4.0, 23.5 ,4.0, 44.4 ,11.0, 18.3 ,13.0, 56.5 ,24.0, 28.9 ,0.0,3.3,0.4,-2.0,1.7,-1.0,-5.3,-6.3,0.7,-4.6,13.4,8.8,9.8,-0.5,1.46,1.3,-0.11,0.66
강승호,62.0,23두2B,1.66,127.0,458.0,418.0,51.0,111.0,18.0,6.0,7.0,162.0,59.0,13.0,6.0,27.0,6.0,0.0,109.0,12.0,4.0,3.0,0.266,0.317,0.388,0.705,0.326, 97.9 ,1.66,0.63,138.0,30.1, .275 ,52.0,296.0, 17.6 ,1.48,1.77,3.25,0.33,0.37,0.27,9.05,-8.41,1.09,0.0, 0.58 ,13.0, 0.96 ,1.53,5.9,23.8, 0.25 ,0.122,0.052, .341 , 5.7 , 9.10 ,52.0, 4.23 ,-2.0, .328 , 52.8 , 4.30 , -1.1 , 97.9 ,89.0,109.0, 0.82 , 68.1 , 50.5 , 49.5 , .064 , .660 ,37.0, 41.6 ,10.0, 9.0 ,8.0,19.0,0.0,2.0, .000 ,2.0, 0.0 , 53.1 , 21.4 , 25.6 , 53.1 , 25.6 ,164.0,66.0,79.0,164.0,79.0,59.0,33.0,19.0,59.0,19.0, .360 , .500 , .241 , .360 , .241 ,1808.0,3.95,28.0,18.9,26.1,27.1,64.6,35.5,46.5,26.9,73.8, 70.9 , 36.8 ,90.0,19.0, 17.4 ,466.0,45.0, 9.7 ,3.0,2.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,7.4, 27.9 , 22.6 , 0.14 ,65.4,59.71,174.0, 25.3 ,-0.06,7.0, 46.7 ,5.0, 62.5 ,4.0, 50.0 ,5.0, 41.7 ,1.0, 16.7 ,12.0, 48.0 ,1.0, 16.7 ,3.0, 37.5 ,3.0,41.0, 45.1 ,0.0,4.0, 4.40 ,-0.22,6.0, 68.4 ,167.0, 11.4 ,2.0,11.0,2.0,0.0,5.0,5.0,1.0,0.0, 28.6 , 68.8 , 66.7 ,  ,0.0,1.0,8.0,0.0,0.0,52.0,296.0, 17.6 ,12.0,113.0, 10.6 ,214.0, 0.467 ,90.0,4.0,2.0, 66.7 ,19.0, 79.2 ,8.0, 61.5 ,6.0, 8.8 ,8.0, 25.0 ,8.0, 66.7 ,22.0, 19.6 ,17.0, 33.3 ,39.0, 23.9 ,-8.0,-1.3,-0.2,-0.1,-1.6,-2.1,-0.8,-3.0,-3.7,-4.6,22.7,18.1,9.78,-0.5,1.77,1.74,-0.22,1.44
강재민,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,  ,0.0,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,0.0,  ,0.0,0.0,  ,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강준서,193.0,23삼LF,-0.06,10.0,15.0,14.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.214,0.267,0.286,0.552,0.265, 54.0 ,-0.06,-0.15,0.0,0.0,  ,0.0,5.0, 0.0 ,-1.32,-0.25,-1.57,-0.16,-0.14,-0.01,0.09,-0.24,0.78,-0.1, -0.09 ,0.0,  ,0.0,6.7,13.3, 0.50 ,0.071,0.052, .250 , 5.2 ,  ,1.0, 2.18 ,-0.8, .263 , 1.0 , 2.15 , -0.8 , 54.0 ,2.0,7.0, 0.29 , 80.0 , 58.3 , 41.7 , .000 , .600 ,0.0, 0.0 ,0.0, 0.0 ,0.0,1.0,0.0,0.0,  ,0.0,  , 50.0 , 25.0 , 25.0 , 50.0 , 25.0 ,6.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0, .167 , .333 , .333 , .167 , .333 ,57.0,3.8,37.5,12.5,12.5,37.5,56.1,43.9,35.1,33.3,80.0, 60.0 , 50.0 ,1.0,1.0, 50.0 ,13.0,1.0, 7.7 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1, 33.3 , 0.0 , 0.00 ,10000.0,9999.99,7.0, 28.6 ,0.07,1.0, 50.0 ,1.0, 100.0 ,0.0,  ,0.0,  ,0.0,  ,0.0, 0.0 ,1.0, 100.0 ,0.0,  ,0.0,3.0, 60.0 ,1.0,0.0, 0.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,  ,0.0,  ,1.0, 33.3 ,0.0,  ,0.0,  ,1.0, 33.3 ,0.0,  ,1.0, 33.3 ,1.0,-0.8,-0.4,0.1,-1.2,-0.2,-0.1,-0.3,-1.4,-1.4,0.7,-0.7,9.7,-0.1,-0.02,-0.06,-0.02,-0.09
강진성,116.0,23두S1B,0.25,58.0,145.0,134.0,10.0,35.0,6.0,1.0,3.0,52.0,17.0,0.0,0.0,6.0,3.0,0.0,20.0,2.0,1.0,1.0,0.261,0.306,0.388,0.694,0.32, 93.4 ,0.25,-0.52,46.0,31.7, .275 ,14.0,90.0, 15.6 ,-3.95,0.69,-3.26,-0.33,-0.76,0.23,2.07,-2.59,0.96,-0.35, -0.19 ,21.0, 0.91 ,2.07,4.1,13.8, 0.30 ,0.127,0.044, .286 , 2.9 , 0.00 ,15.8, 4.15 ,-1.3, .322 , 15.9 , 4.18 , -1.1 , 93.4 ,48.0,31.0, 1.55 , 79.3 , 42.1 , 57.9 , .063 , .485 ,14.0, 29.2 ,3.0, 8.6 ,0.0,2.0,0.0,0.0,  ,1.0, 0.0 , 45.6 , 22.8 , 31.6 , 45.6 , 31.6 ,52.0,26.0,36.0,52.0,36.0,16.0,10.0,9.0,16.0,9.0, .308 , .385 , .250 , .308 , .250 ,534.0,3.68,25.8,12.5,28.1,33.6,64.6,35.4,47.9,22.1,83.2, 77.3 , 37.6 ,14.0,6.0, 30.0 ,191.0,13.0, 6.8 ,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.5, 28.6 , 30.0 , 0.09 ,48.3,44.67,47.0, 14.9 ,-0.23,3.0, 60.0 ,1.0, 50.0 ,0.0, 0.0 ,0.0, 0.0 ,1.0, 50.0 ,2.0, 16.7 ,1.0, 33.3 ,0.0,  ,0.0,8.0, 26.7 ,-6.0,0.0, 0.00 ,-0.09,0.0,  ,44.0, 0.0 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,2.0,0.0,0.0,14.0,90.0, 15.6 ,2.0,27.0, 7.4 ,64.0, 0.441 ,34.0,1.0,1.0, 50.0 ,5.0, 71.4 ,5.0, 83.3 ,1.0, 6.7 ,2.0, 16.7 ,1.0, 33.3 ,4.0, 13.3 ,6.0, 37.5 ,10.0, 21.7 ,-3.0,-1.2,-0.1,-0.2,-1.5,0.3,-2.0,-1.7,-1.2,-3.2,7.2,4.0,9.75,-0.3,0.48,0.45,0.03,0.27
강한울,291.0,23삼3B,-0.6,72.0,240.0,212.0,30.0,46.0,7.0,2.0,0.0,57.0,10.0,1.0,3.0,20.0,0.0,1.0,54.0,4.0,6.0,2.0,0.217,0.282,0.269,0.551,0.259, 50.0 ,-0.6,-1.8,78.0,32.5, .156 ,10.0,142.0, 7.0 ,-19.17,0.27,-18.91,-1.91,-1.84,0.04,3.07,-4.86,1.13,-1.24, -0.35 ,8.0, 1.55 ,0.0,8.3,22.5, 0.37 ,0.052,0.065, .288 , 5.1 , 0.00 ,14.4, 2.15 ,-13.9, .257 , 14.1 , 2.11 , -14.1 , 50.0 ,51.0,63.0, 0.81 , 66.7 , 51.9 , 48.1 , .061 , .540 ,16.0, 31.4 ,5.0, 10.9 ,4.0,7.0,3.0,5.0, .375 ,15.0, 20.0 , 39.9 , 22.8 , 37.3 , 37.3 , 39.9 ,63.0,36.0,59.0,59.0,63.0,13.0,18.0,15.0,15.0,13.0, .206 , .500 , .254 , .254 , .206 ,934.0,3.89,29.5,16.1,26.8,27.6,64.4,35.7,45.4,28.3,77.1, 72.0 , 33.0 ,41.0,13.0, 24.1 ,332.0,17.0, 5.1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2, 19.6 , 0.0 , 0.00 ,10000.0,9999.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,142.0, 7.0 ,4.0,50.0, 8.0 ,121.0, 0.504 ,53.0,6.0,6.0, 50.0 ,9.0, 47.4 ,3.0, 50.0 ,3.0, 9.7 ,6.0, 28.6 ,2.0, 18.2 ,11.0, 17.5 ,2.0, 16.7 ,13.0, 17.3 ,-8.0,-14.2,-1.2,-0.6,-16.0,0.5,0.7,1.2,-15.5,-14.8,11.9,-2.9,9.6,-1.5,-0.48,-0.67,0.05,-0.54
강현우,217.0,23KC,-0.12,53.0,111.0,103.0,11.0,20.0,6.0,0.0,1.0,29.0,11.0,0.0,1.0,6.0,1.0,0.0,17.0,3.0,1.0,0.0,0.194,0.246,0.282,0.527,0.249, 42.6 ,-0.12,-0.99,37.0,33.3, .206 ,10.0,76.0, 13.2 ,-9.64,-0.45,-10.1,-1.02,-0.96,-0.02,1.15,-2.14,0.87,-0.77, -0.37 ,7.0, 1.15 ,0.9,5.4,15.3, 0.35 ,0.087,0.051, .224 , 2.8 , 0.00 ,5.8, 1.78 ,-7.3, .246 , 5.6 , 1.71 , -7.5 , 42.6 ,27.0,39.0, 0.69 , 77.5 , 55.8 , 44.2 , .042 , .474 ,7.0, 25.9 ,2.0, 10.0 ,3.0,4.0,0.0,0.0,  ,0.0,  , 46.5 , 18.6 , 34.9 , 46.5 , 34.9 ,40.0,16.0,30.0,40.0,30.0,11.0,5.0,4.0,11.0,4.0, .275 , .313 , .133 , .275 , .133 ,442.0,3.98,29.9,9.4,31.5,29.2,67.4,32.6,47.3,19.8,86.6, 83.0 , 26.5 ,15.0,2.0, 11.8 ,104.0,7.0, 6.7 ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.8, 35.0 , 14.3 , 0.05 ,111.0,103.0,36.0, 27.8 ,0.4,1.0, 33.3 ,3.0, 100.0 ,0.0,  ,0.0,  ,0.0,  ,2.0, 28.6 ,1.0, 50.0 ,0.0,  ,0.0,7.0, 46.7 ,1.0,0.0, 0.00 ,,,,,,,,,,,,,,,,,,,,,,,10.0,76.0, 13.2 ,3.0,23.0, 13.0 ,61.0, 0.550 ,25.0,1.0,0.0, 100.0 ,2.0, 50.0 ,2.0, 50.0 ,0.0, 0.0 ,2.0, 22.2 ,1.0, 33.3 ,3.0, 10.0 ,7.0, 53.9 ,10.0, 23.3 ,-3.0,-7.5,-0.5,0.4,-7.6,-0.8,1.9,1.2,-8.4,-6.4,5.5,-0.9,9.67,-0.7,-0.32,-0.33,-0.08,-0.2
고명준,212.0,23S1B,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, -123.9 ,-0.1,-0.05,1.0,25.0, .000 ,0.0,4.0, 0.0 ,-1.26,0.0,-1.26,-0.13,-0.05,0.0,0.0,-0.05,0.49,-0.1, -0.00 ,0.0,  ,0.0,0.0,75.0, 0.00 ,0.0,0.0, .000 ,  ,  ,-0.6, -3.94 ,-1.1, .000 , -0.6 , -3.94 , -1.1 , -123.9 ,0.0,1.0, 0.00 , 25.0 , 100.0 , 0.0 , .000 ,  ,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,  ,0.0,  , 100.0 , 0.0 , 0.0 , 100.0 , 0.0 ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, .000 ,  ,  , .000 ,  ,17.0,4.25,35.7,42.9,14.3,7.1,82.4,17.7,52.9,25.0,33.3, 50.0 , 25.0 ,2.0,1.0, 33.3 ,0.0,0.0,  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,10000.0,9999.99,0.0,  ,0.0,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,  ,0.0,0.0,  ,0.0,0.0,  ,0.0,0.0,  ,0.0,  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,  ,0.0,  ,0.0, 0.0 ,0.0, 0.0 ,0.0,  ,0.0, 0.0 ,0.0,  ,0.0, 0.0 ,0.0,-1.1,0.0,0.0,-1.1,0.1,-0.0,0.1,-1.0,-1.0,0.2,-0.8,9.33,-0.1,-0.1,-0.1,0.01,-0.09
