순,이름,팀/포지션,정렬용,타석,득점권PA,득점권%,득점권타율,타점,순수타점,주자,타점%,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAplus,WPAminus,WPA,pLI,WPA/LI,Clutch,ph,phLI
1,홍창기,23LRF, 4.72 , 643 , 176 , 27.4 , .361 , 65 , 64 , 287 , 22.3 , 44.53 , -2.75 , 41.78 , 4.22 , 4.58 , 0.14 , 14.74 , -10.02 , 4.72 , 1.10 , 3.50 , 0.78 , 2 , 0.83 
2,노시환,23한3B, 4.25 , 595 , 161 , 27.1 , .299 , 101 , 70 , 319 , 21.9 , 31.43 , 3.08 , 34.51 , 3.49 , 3.45 , 0.80 , 13.59 , -9.34 , 4.25 , 1.05 , 4.21 , -0.17 , 0 ,  
3,최형우,23KDH, 4.06 , 508 , 152 , 29.9 , .317 , 81 , 64 , 313 , 20.5 , 30.92 , -0.21 , 30.71 , 3.10 , 4.11 , -0.05 , 12.15 , -8.09 , 4.06 , 1.07 , 2.67 , 1.12 , 3 , 2.78 
4,에레디아,23SLF, 3.78 , 523 , 163 , 31.2 , .338 , 76 , 64 , 341 , 18.8 , 18.53 , -0.76 , 17.78 , 1.80 , 3.69 , 0.10 , 12.87 , -9.09 , 3.78 , 1.12 , 2.17 , 1.21 , 0 ,  
5,구자욱,23삼RF, 3.58 , 515 , 145 , 28.2 , .403 , 71 , 60 , 305 , 19.7 , 33.16 , -0.01 , 33.15 , 3.35 , 3.60 , -0.02 , 11.82 , -8.25 , 3.58 , 1.10 , 2.79 , 0.47 , 3 , 1.33 
6,오스틴,23L1B, 2.92 , 583 , 197 , 33.8 , .299 , 95 , 72 , 384 , 18.8 , 22.03 , 0.80 , 22.84 , 2.31 , 2.79 , 0.13 , 13.05 , -10.13 , 2.92 , 1.05 , 3.36 , -0.59 , 2 , 1.81 
7,최정,23S3B, 2.80 , 552 , 146 , 26.5 , .264 , 87 , 58 , 293 , 19.8 , 27.12 , 1.50 , 28.63 , 2.89 , 2.56 , 0.24 , 12.57 , -9.77 , 2.80 , 1.11 , 3.78 , -1.26 , 0 ,  
8,박병호,23K1B, 2.79 , 493 , 167 , 33.9 , .340 , 87 , 69 , 318 , 21.7 , 21.72 , 1.74 , 23.46 , 2.37 , 2.59 , 0.20 , 10.83 , -8.04 , 2.79 , 1.02 , 2.44 , 0.30 , 20 , 1.43 
9,손아섭,23NDH, 2.67 , 609 , 137 , 22.5 , .339 , 65 , 60 , 295 , 20.3 , 27.43 , 2.31 , 29.74 , 3.00 , 2.47 , 0.20 , 11.81 , -9.13 , 2.67 , 0.96 , 2.61 , 0.18 , 4 , 1.51 
10,전준우,23롯DH, 2.65 , 559 , 152 , 27.2 , .292 , 77 , 60 , 336 , 17.9 , 19.28 , 2.44 , 21.72 , 2.19 , 2.23 , 0.42 , 12.41 , -9.75 , 2.65 , 1.11 , 3.14 , -0.74 , 10 , 2.36 
11,박건우,23NRF, 2.50 , 533 , 172 , 32.3 , .304 , 85 , 73 , 331 , 22.1 , 27.86 , -1.95 , 25.91 , 2.62 , 2.70 , -0.20 , 11.19 , -8.69 , 2.50 , 1.01 , 2.25 , 0.21 , 3 , 2.12 
12,김혜성,23키2B, 2.50 , 621 , 143 , 23.0 , .314 , 57 , 50 , 324 , 15.4 , 18.98 , 3.77 , 22.74 , 2.30 , 2.10 , 0.40 , 13.13 , -10.64 , 2.50 , 1.13 , 2.76 , -0.54 , 0 ,  
