순,이름,팀/포지션,정렬용,타석,뜬공,땅볼,FO/GO,InP%,방향_내야%,방향_외야%,BABIP,타율_내,타율_외,내야뜬공_개수,내야뜬공_%,내야안타_개수,내야안타_%,실책출루,포스o출루,번트_안타,번트_아웃,번트_타율,번트_시도,번트_%
1,김병휘,23키2B, 9.00 , 21 , 9 , 1 , 9.00 , 61.9 , 23.1 , 76.9 , .231 , .000 , .300 , 2 , 22.2 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
2,장운호,23한RF, 4.00 , 11 , 4 , 1 , 4.00 , 63.6 , 57.1 , 42.9 , .286 , .000 , .667 , 3 , 75.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,유상빈,23한DH, 4.00 , 8 , 4 , 1 , 4.00 , 62.5 , 60.0 , 40.0 , .000 , .000 , .000 , 2 , 50.0 , 0 ,  , 0 , 0 , 0 , 0 ,  , 0 ,  
,서예일,23두2B, 4.00 , 10 , 4 , 1 , 4.00 , 80.0 , 28.6 , 71.4 , .250 , .000 , .400 , 1 , 25.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
5,강민성,23K3B, 3.00 , 27 , 6 , 2 , 3.00 , 44.4 , 25.0 , 75.0 , .333 , .000 , .444 , 1 , 16.7 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
,김선우,23KC, 3.00 , 7 , 3 , 1 , 3.00 , 71.4 , 60.0 , 40.0 , .200 , .333 , .000 , 1 , 33.3 , 1 , 100.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,최경모,23S3B, 3.00 , 20 , 9 , 3 , 3.00 , 75.0 , 46.7 , 53.3 , .200 , .143 , .250 , 3 , 33.3 , 1 , 33.3 , 0 , 0 , 0 , 0 ,  , 1 , 0.0 
8,오재일,23삼1B, 2.53 , 364 , 101 , 40 , 2.53 , 57.1 , 36.6 , 63.4 , .269 , .067 , .454 , 30 , 29.7 , 5 , 7.8 , 2 , 8 , 0 , 0 ,  , 1 , 0.0 
9,박유연,23두C, 2.50 , 16 , 5 , 2 , 2.50 , 68.8 , 36.4 , 63.6 , .364 , .250 , .429 , 1 , 20.0 , 1 , 25.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
10,김대한,23두RF, 2.39 , 89 , 31 , 13 , 2.39 , 67.4 , 51.7 , 48.3 , .254 , .000 , .552 , 18 , 58.1 , 0 , 0.0 , 1 , 3 , 0 , 1 , .000 , 2 , 0.0 
11,로하스,23두LF, 2.28 , 464 , 162 , 71 , 2.28 , 72.8 , 42.4 , 57.6 , .260 , .056 , .487 , 63 , 38.9 , 8 , 7.8 , 6 , 8 , 4 , 1 , .800 , 11 , 36.4 
12,김규성,23K2B, 2.16 , 177 , 54 , 25 , 2.16 , 65.0 , 43.5 , 56.5 , .310 , .060 , .523 , 23 , 42.6 , 3 , 8.1 , 5 , 5 , 1 , 0 , 1.000 , 10 , 10.0 
13,김호령,23KCF, 2.08 , 107 , 27 , 13 , 2.08 , 53.3 , 40.4 , 59.7 , .298 , .130 , .412 , 7 , 25.9 , 3 , 17.7 , 0 , 1 , 1 , 0 , 1.000 , 4 , 25.0 
14,최보성,23N3B, 2.00 , 21 , 8 , 4 , 2.00 , 81.0 , 47.1 , 52.9 , .294 , .125 , .444 , 3 , 37.5 , 1 , 20.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,박상언,23한C, 2.00 , 161 , 52 , 26 , 2.00 , 67.7 , 39.3 , 60.8 , .259 , .000 , .446 , 16 , 30.8 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 1 , 0.0 
,장지승,23한, 2.00 , 3 , 2 , 1 , 2.00 , 100.0 , 66.7 , 33.3 , .000 , .000 , .000 , 1 , 50.0 , 0 ,  , 0 , 0 , 0 , 0 ,  , 0 ,  
,김헌곤,23삼, 2.00 , 4 , 2 , 1 , 2.00 , 75.0 , 100.0 , 0.0 , .000 , .000 ,  , 2 , 100.0 , 0 ,  , 0 , 1 , 0 , 0 ,  , 0 ,  
,이병규,23키1B, 2.00 , 17 , 6 , 3 , 2.00 , 76.5 , 38.5 , 61.5 , .308 , .200 , .375 , 1 , 16.7 , 1 , 25.0 , 0 , 2 , 0 , 1 , .000 , 1 , 0.0 
,이승원,23키SS, 2.00 , 5 , 2 , 1 , 2.00 , 60.0 , 66.7 , 33.3 , .000 , .000 , .000 , 1 , 50.0 , 0 ,  , 0 , 0 , 0 , 0 ,  , 0 ,  
20,최정,23S3B, 1.91 , 552 , 160 , 84 , 1.91 , 70.7 , 36.5 , 63.5 , .308 , .043 , .549 , 50 , 31.3 , 6 , 4.3 , 4 , 7 , 0 , 0 ,  , 0 ,  
21,박준영,23두3B, 1.88 , 138 , 30 , 16 , 1.88 , 53.6 , 44.6 , 55.4 , .343 , .121 , .585 , 13 , 43.3 , 4 , 14.3 , 3 , 3 , 0 , 3 , .000 , 3 , 0.0 
