순,이름,팀/포지션,정렬용,타석,타구방향%_좌,타구방향%_중,타구방향%_우,타구방향%_당,타구방향%_밀,타구방향개수_좌,타구방향개수_중,타구방향개수_우,타구방향개수_당,타구방향개수_밀,안타방향개수_좌,안타방향개수_중,안타방향개수_우,안타방향개수_당,안타방향개수_밀,방향별타율_좌,방향별타율_중,방향별타율_우,방향별타율_당,방향별타율_밀,BABIP
1,홍창기,23LRF, 643 , 643 , 32.7 , 27.0 , 40.4 , 39.7 , 33.3 , 144 , 119 , 178 , 175 , 147 , 60 , 58 , 56 , 55 , 61 , .417 , .487 , .315 , .314 , .415 , .388 
2,김혜성,23키2B, 621 , 621 , 26.3 , 25.7 , 48.0 , 48.0 , 26.3 , 126 , 123 , 230 , 230 , 126 , 34 , 52 , 100 , 100 , 34 , .270 , .423 , .435 , .435 , .270 , .375 
3,손아섭,23NDH, 609 , 609 , 35.3 , 22.5 , 42.2 , 42.2 , 35.3 , 171 , 109 , 204 , 204 , 171 , 63 , 60 , 64 , 64 , 63 , .368 , .551 , .314 , .314 , .368 , .376 
4,소크라테스,23KCF, 608 , 608 , 30.2 , 25.1 , 44.8 , 44.8 , 30.2 , 141 , 117 , 209 , 209 , 141 , 33 , 46 , 77 , 77 , 33 , .234 , .393 , .368 , .368 , .234 , .299 
5,피렐라,23삼LF, 605 , 605 , 46.3 , 23.4 , 30.3 , 46.3 , 30.3 , 226 , 114 , 148 , 226 , 148 , 72 , 45 , 42 , 72 , 42 , .319 , .395 , .284 , .319 , .284 , .302 
6,채은성,23한1B, 596 , 596 , 54.2 , 22.4 , 23.4 , 54.2 , 23.4 , 227 , 94 , 98 , 227 , 98 , 74 , 44 , 19 , 74 , 19 , .326 , .468 , .194 , .326 , .194 , .286 
7,노시환,23한3B, 595 , 595 , 46.5 , 23.2 , 30.3 , 46.5 , 30.3 , 184 , 92 , 120 , 184 , 120 , 76 , 38 , 39 , 76 , 39 , .413 , .413 , .325 , .413 , .325 , .332 
8,오스틴,23L1B, 583 , 583 , 47.6 , 24.7 , 27.6 , 47.6 , 27.6 , 212 , 110 , 123 , 212 , 123 , 76 , 48 , 39 , 76 , 39 , .359 , .436 , .317 , .359 , .317 , .326 
,정수빈,23두CF, 583 , 583 , 32.2 , 26.4 , 41.4 , 41.4 , 32.2 , 140 , 115 , 180 , 180 , 140 , 46 , 47 , 50 , 50 , 46 , .329 , .409 , .278 , .278 , .329 , .324 
10,양석환,23두1B, 581 , 581 , 59.1 , 20.2 , 20.7 , 59.1 , 20.7 , 231 , 79 , 81 , 231 , 81 , 104 , 30 , 13 , 104 , 13 , .450 , .380 , .161 , .450 , .161 , .331 
11,전준우,23롯DH, 559 , 559 , 46.5 , 23.4 , 30.1 , 46.5 , 30.1 , 199 , 100 , 129 , 199 , 129 , 71 , 47 , 36 , 71 , 36 , .357 , .470 , .279 , .357 , .279 , .328 
12,박해민,23LCF, 558 , 558 , 38.4 , 19.2 , 42.3 , 42.3 , 38.4 , 158 , 79 , 174 , 174 , 158 , 48 , 35 , 55 , 55 , 48 , .304 , .443 , .316 , .316 , .304 , .325 
13,김현수,23LDH, 556 , 556 , 32.4 , 22.8 , 44.8 , 44.8 , 32.4 , 141 , 99 , 195 , 195 , 141 , 33 , 46 , 64 , 64 , 33 , .234 , .465 , .328 , .328 , .234 , .314 
14,최정,23S3B, 552 , 552 , 55.7 , 22.4 , 21.9 , 55.7 , 21.9 , 214 , 86 , 84 , 214 , 84 , 87 , 30 , 23 , 87 , 23 , .407 , .349 , .274 , .407 , .274 , .308 
15,알포드,23KLF, 547 , 547 , 42.7 , 23.9 , 33.3 , 42.7 , 33.3 , 150 , 84 , 117 , 150 , 117 , 70 , 38 , 34 , 70 , 34 , .467 , .452 , .291 , .467 , .291 , .375 
16,문보경,23L3B, 542 , 542 , 29.3 , 30.6 , 40.2 , 39.9 , 29.5 , 113 , 118 , 155 , 154 , 114 , 33 , 51 , 57 , 55 , 35 , .292 , .432 , .368 , .357 , .307 , .345 
17,이재현,23삼SS, 538 , 538 , 50.4 , 23.0 , 26.6 , 50.4 , 26.6 , 186 , 85 , 98 , 186 , 98 , 57 , 27 , 30 , 57 , 30 , .307 , .318 , .306 , .307 , .306 , .281 
18,문성주,23LLF, 534 , 534 , 41.2 , 24.3 , 34.5 , 34.5 , 41.2 , 171 , 101 , 143 , 143 , 171 , 55 , 39 , 38 , 37 , 56 , .322 , .386 , .266 , .259 , .328 , .312 
19,박건우,23NRF, 533 , 533 , 47.0 , 24.6 , 28.4 , 47.0 , 28.4 , 182 , 95 , 110 , 182 , 110 , 66 , 42 , 38 , 66 , 38 , .363 , .442 , .346 , .363 , .346 , .349 
20,박성한,23SSS, 529 , 529 , 31.0 , 22.3 , 46.7 , 46.4 , 31.3 , 125 , 90 , 188 , 187 , 126 , 37 , 32 , 53 , 53 , 37 , .296 , .356 , .282 , .283 , .294 , .284 
