순,이름,팀/포지션,정렬용,타석,홈런,솔로홈런,투런,쓰리런,만리런,좌홈런,좌중간홈런,센터홈런,우중간홈런,우홈런,장타,XH/AB,XH/H,HR/XH,HR/외뜬,PA/HR,AB/HR,IsoP
1,노시환,23한3B, 31 , 595 , 31 , 20 , 7 , 4 , 0 , 19 , 0 , 3 , 0 , 9 , 62 , 12.1 , 40.5 , 50.0 , 0.32 , 19.2 , 16.58 , .243 
2,최정,23S3B, 29 , 552 , 29 , 22 , 2 , 4 , 1 , 25 , 0 , 2 , 0 , 2 , 60 , 12.7 , 42.9 , 48.3 , 0.26 , 19.0 , 16.24 , .251 
3,오스틴,23L1B, 23 , 583 , 23 , 15 , 7 , 1 , 0 , 19 , 0 , 1 , 0 , 3 , 56 , 10.8 , 34.4 , 41.1 , 0.20 , 25.4 , 22.61 , .204 
,채은성,23한1B, 23 , 596 , 23 , 11 , 7 , 4 , 1 , 16 , 0 , 3 , 0 , 4 , 40 , 7.7 , 29.2 , 57.5 , 0.20 , 25.9 , 22.65 , .165 
5,양석환,23두1B, 21 , 581 , 21 , 10 , 8 , 2 , 1 , 21 , 0 , 0 , 0 , 0 , 49 , 9.4 , 33.3 , 42.9 , 0.22 , 27.7 , 24.95 , .174 
6,소크라테스,23KCF, 20 , 608 , 20 , 9 , 6 , 4 , 1 , 1 , 0 , 2 , 0 , 17 , 54 , 9.9 , 34.6 , 37.0 , 0.17 , 30.4 , 27.35 , .177 
,박동원,23LC, 20 , 481 , 20 , 13 , 5 , 1 , 1 , 19 , 0 , 1 , 0 , 0 , 38 , 9.3 , 37.3 , 52.6 , 0.33 , 24.1 , 20.45 , .193 
,최주환,23S2B, 20 , 478 , 20 , 13 , 4 , 2 , 1 , 1 , 0 , 0 , 0 , 19 , 44 , 10.3 , 44.0 , 45.5 , 0.21 , 23.9 , 21.30 , .197 
9,로하스,23두LF, 19 , 464 , 19 , 11 , 6 , 2 , 0 , 0 , 0 , 0 , 0 , 19 , 47 , 11.7 , 46.1 , 40.4 , 0.19 , 24.4 , 21.21 , .221 
10,나성범,23KRF, 18 , 253 , 18 , 8 , 9 , 1 , 0 , 1 , 0 , 3 , 0 , 14 , 31 , 14.0 , 38.3 , 58.1 , 0.49 , 14.1 , 12.33 , .306 
,박병호,23K1B, 18 , 493 , 18 , 11 , 5 , 1 , 1 , 8 , 0 , 3 , 0 , 7 , 33 , 7.7 , 27.0 , 54.6 , 0.25 , 27.4 , 23.94 , .160 
12,양의지,23두C, 17 , 509 , 17 , 9 , 6 , 2 , 0 , 15 , 0 , 0 , 0 , 2 , 40 , 9.1 , 29.9 , 42.5 , 0.16 , 29.9 , 25.76 , .169 
,마틴,23NCF, 17 , 503 , 17 , 9 , 5 , 2 , 1 , 4 , 0 , 0 , 0 , 13 , 39 , 9.0 , 31.7 , 43.6 , 0.19 , 29.6 , 25.59 , .172 
,전준우,23롯DH, 17 , 559 , 17 , 7 , 8 , 2 , 0 , 16 , 0 , 0 , 0 , 1 , 41 , 8.3 , 26.6 , 41.5 , 0.17 , 32.9 , 29.00 , .158 
,최형우,23KDH, 17 , 508 , 17 , 8 , 4 , 4 , 1 , 2 , 0 , 4 , 0 , 11 , 45 , 10.4 , 34.6 , 37.8 , 0.17 , 29.9 , 25.35 , .186 
16,강민호,23삼C, 16 , 495 , 16 , 10 , 3 , 2 , 1 , 16 , 0 , 0 , 0 , 0 , 35 , 8.1 , 27.8 , 45.7 , 0.21 , 30.9 , 27.13 , .154 
,피렐라,23삼LF, 16 , 605 , 16 , 6 , 7 , 3 , 0 , 12 , 0 , 1 , 0 , 3 , 45 , 8.1 , 28.3 , 35.6 , 0.15 , 37.8 , 34.81 , .140 
18,알포드,23KLF, 15 , 547 , 15 , 5 , 8 , 2 , 0 , 10 , 0 , 0 , 0 , 5 , 49 , 10.0 , 34.5 , 30.6 , 0.16 , 36.5 , 32.73 , .167 
19,에레디아,23SLF, 12 , 523 , 12 , 8 , 3 , 1 , 0 , 11 , 0 , 0 , 0 , 1 , 41 , 8.7 , 26.8 , 29.3 , 0.14 , 43.6 , 39.42 , .137 
