순,이름,팀/포지션,정렬용,타석,RAA도루,도루,도실,도루%,도루기회,도루시도%,도루상황_좌,도루상황_2,도루상황_3,도루상황_4,도실상황_좌,도실상황_2,도실상황_3,도실상황_4,도루%상황_좌,도루%상황_2,도루%상황_3,도루%상황_4,무관심도루,견제아웃,폭투진루,포일진루,견제실책
1,정수빈,23두CF, 3.95 , 583 , 3.95 , 39 , 8 , 83.0 , 242 , 19.4 , 11 , 36 , 3 , 0 , 3 , 7 , 1 , 0 , 78.6 , 83.7 , 75.0 ,  , 0 , 3 , 10 , 1 , 3 
2,류지혁,23K삼3B, 3.93 , 522 , 3.93 , 26 , 2 , 92.9 , 192 , 14.6 , 9 , 23 , 3 , 0 , 1 , 2 , 0 , 0 , 90.0 , 92.0 , 100.0 ,  , 0 , 2 , 5 , 1 , 2 
3,오태곤,23S1B, 3.41 , 305 , 3.41 , 20 , 1 , 95.2 , 107 , 19.6 , 10 , 20 , 0 , 0 , 1 , 1 , 0 , 0 , 90.9 , 95.2 ,  ,  , 0 , 0 , 8 , 1 , 2 
4,김혜성,23키2B, 3.20 , 621 , 3.20 , 25 , 3 , 89.3 , 270 , 10.4 , 4 , 25 , 0 , 0 , 1 , 3 , 0 , 0 , 80.0 , 89.3 ,  ,  , 0 , 2 , 11 , 1 , 4 
5,김도영,23K3B, 3.03 , 385 , 3.03 , 25 , 4 , 86.2 , 147 , 19.7 , 4 , 23 , 2 , 0 , 2 , 4 , 0 , 0 , 66.7 , 85.2 , 100.0 ,  , 0 , 2 , 4 , 0 , 1 
6,최지훈,23SCF, 3.02 , 503 , 3.02 , 21 , 2 , 91.3 , 183 , 12.6 , 7 , 21 , 0 , 0 , 1 , 2 , 0 , 0 , 87.5 , 91.3 ,  ,  , 0 , 3 , 6 , 0 , 0 
7,조수행,23두RF, 2.50 , 249 , 2.50 , 26 , 6 , 81.3 , 129 , 24.8 , 9 , 24 , 2 , 0 , 0 , 4 , 2 , 0 , 100.0 , 85.7 , 50.0 ,  , 0 , 0 , 7 , 3 , 4 
8,박찬호,23KSS, 2.23 , 507 , 2.23 , 30 , 8 , 79.0 , 206 , 18.5 , 9 , 28 , 2 , 0 , 2 , 7 , 1 , 0 , 81.8 , 80.0 , 66.7 ,  , 0 , 1 , 8 , 1 , 4 
9,김성윤,23삼RF, 2.10 , 272 , 2.10 , 20 , 4 , 83.3 , 131 , 18.3 , 6 , 17 , 3 , 0 , 3 , 4 , 0 , 0 , 66.7 , 81.0 , 100.0 ,  , 0 , 0 , 5 , 1 , 2 
10,하재훈,23SLF, 2.02 , 229 , 2.02 , 11 , 0 , 100.0 , 87 , 12.6 , 2 , 11 , 0 , 0 , 0 , 0 , 0 , 0 , 100.0 , 100.0 ,  ,  , 0 , 1 , 3 , 0 , 0 
11,박민우,23N2B, 1.83 , 509 , 1.83 , 26 , 7 , 78.8 , 216 , 15.3 , 13 , 18 , 8 , 0 , 3 , 4 , 1 , 2 , 81.3 , 81.8 , 88.9 , 0.0 , 0 , 1 , 6 , 3 , 2 
12,김지찬,23삼2B, 1.82 , 355 , 1.82 , 13 , 1 , 92.9 , 163 , 8.6 , 2 , 13 , 0 , 0 , 0 , 1 , 0 , 0 , 100.0 , 92.9 ,  ,  , 0 , 1 , 3 , 1 , 1 
13,김민석,23롯CF, 1.64 , 454 , 1.64 , 16 , 3 , 84.2 , 163 , 11.7 , 3 , 16 , 0 , 0 , 2 , 3 , 0 , 0 , 60.0 , 84.2 ,  ,  , 0 , 2 , 3 , 1 , 1 
14,김주원,23NSS, 1.39 , 474 , 1.39 , 15 , 3 , 83.3 , 156 , 11.5 , 3 , 13 , 2 , 0 , 1 , 3 , 0 , 0 , 75.0 , 81.3 , 100.0 ,  , 0 , 1 , 2 , 0 , 0 
15,마틴,23NCF, 1.36 , 503 , 1.36 , 15 , 3 , 83.3 , 177 , 10.2 , 4 , 14 , 1 , 0 , 1 , 3 , 0 , 0 , 80.0 , 82.4 , 100.0 ,  , 0 , 1 , 5 , 1 , 0 
16,알포드,23KLF, 1.33 , 547 , 1.33 , 17 , 4 , 81.0 , 200 , 10.5 , 2 , 15 , 0 , 2 , 1 , 3 , 0 , 1 , 66.7 , 83.3 ,  , 66.7 , 0 , 1 , 14 , 4 , 1 
17,이원석,23한CF, 1.23 , 138 , 1.23 , 13 , 3 , 81.3 , 83 , 19.3 , 5 , 11 , 2 , 0 , 0 , 3 , 0 , 0 , 100.0 , 78.6 , 100.0 ,  , 0 , 0 , 0 , 1 , 1 
18,양의지,23두C, 1.18 , 509 , 1.18 , 8 , 0 , 100.0 , 190 , 4.2 , 0 , 7 , 1 , 0 , 0 , 0 , 0 , 0 ,  , 100.0 , 100.0 ,  , 0 , 1 , 6 , 0 , 1 
19,박승욱,23롯2B, 1.06 , 338 , 1.06 , 15 , 4 , 79.0 , 141 , 13.5 , 2 , 15 , 0 , 0 , 1 , 4 , 0 , 0 , 66.7 , 79.0 ,  ,  , 0 , 0 , 8 , 0 , 1 
