순,이름,팀/포지션,정렬용,타석,타점,타점_순수,타점_주자,타점_%,병살타,병살타_상황,병살타%,잔루,잔루/타석,팀잔루,희생번트,희번실패,희번_%
1,노시환,23한3B, 101 , 595 , 101 , 70 , 319 , 21.9 , 13 , 122 , 10.7 , 226 , 0.380 , 98 , 0 , 0 ,  
2,소크라테스,23KCF, 96 , 608 , 96 , 76 , 391 , 19.4 , 13 , 157 , 8.3 , 272 , 0.447 , 108 , 0 , 1 , 0.0 
3,오스틴,23L1B, 95 , 583 , 95 , 72 , 384 , 18.8 , 11 , 119 , 9.2 , 268 , 0.460 , 119 , 0 , 0 ,  
4,마틴,23NCF, 90 , 503 , 90 , 73 , 336 , 21.7 , 8 , 122 , 6.6 , 228 , 0.453 , 85 , 0 , 1 , 0.0 
5,양석환,23두1B, 89 , 581 , 89 , 68 , 356 , 19.1 , 9 , 132 , 6.8 , 256 , 0.441 , 111 , 0 , 4 , 0.0 
6,김현수,23LDH, 88 , 556 , 88 , 82 , 351 , 23.4 , 10 , 138 , 7.3 , 236 , 0.425 , 75 , 1 , 1 , 50.0 
7,최정,23S3B, 87 , 552 , 87 , 58 , 293 , 19.8 , 12 , 136 , 8.8 , 210 , 0.380 , 79 , 1 , 0 , 100.0 
,박병호,23K1B, 87 , 493 , 87 , 69 , 318 , 21.7 , 9 , 96 , 9.4 , 217 , 0.440 , 101 , 0 , 0 ,  
9,박건우,23NRF, 85 , 533 , 85 , 73 , 331 , 22.1 , 14 , 150 , 9.3 , 231 , 0.433 , 82 , 1 , 2 , 33.3 
10,채은성,23한1B, 84 , 596 , 84 , 61 , 353 , 17.3 , 16 , 118 , 13.6 , 241 , 0.404 , 133 , 0 , 0 ,  
11,최형우,23KDH, 81 , 508 , 81 , 64 , 313 , 20.5 , 5 , 122 , 4.1 , 212 , 0.417 , 103 , 0 , 0 ,  
12,피렐라,23삼LF, 80 , 605 , 80 , 64 , 391 , 16.4 , 20 , 138 , 14.5 , 275 , 0.455 , 124 , 0 , 0 ,  
13,강민호,23삼C, 77 , 495 , 77 , 61 , 332 , 18.4 , 17 , 96 , 17.7 , 234 , 0.473 , 114 , 1 , 0 , 100.0 
,전준우,23롯DH, 77 , 559 , 77 , 60 , 336 , 17.9 , 12 , 122 , 9.8 , 234 , 0.419 , 105 , 0 , 2 , 0.0 
15,에레디아,23SLF, 76 , 523 , 76 , 64 , 341 , 18.8 , 13 , 116 , 11.2 , 225 , 0.430 , 101 , 1 , 0 , 100.0 
16,박동원,23LC, 75 , 481 , 75 , 55 , 269 , 20.5 , 7 , 97 , 7.2 , 200 , 0.416 , 87 , 8 , 6 , 57.1 
17,문보경,23L3B, 72 , 542 , 72 , 62 , 343 , 18.1 , 5 , 106 , 4.7 , 249 , 0.459 , 142 , 9 , 5 , 64.3 
18,구자욱,23삼RF, 71 , 515 , 71 , 60 , 305 , 19.7 , 5 , 133 , 3.8 , 187 , 0.363 , 59 , 2 , 1 , 66.7 
19,알포드,23KLF, 70 , 547 , 70 , 55 , 339 , 16.2 , 6 , 123 , 4.9 , 242 , 0.442 , 119 , 0 , 0 ,  
20,양의지,23두C, 68 , 509 , 68 , 51 , 277 , 18.4 , 20 , 103 , 19.4 , 185 , 0.364 , 91 , 0 , 0 ,  
21,홍창기,23LRF, 65 , 643 , 65 , 64 , 287 , 22.3 , 6 , 94 , 6.4 , 188 , 0.292 , 85 , 3 , 3 , 50.0 
,손아섭,23NDH, 65 , 609 , 65 , 60 , 295 , 20.3 , 10 , 114 , 8.8 , 188 , 0.309 , 79 , 1 , 2 , 33.3 
,장성우,23KC, 65 , 464 , 65 , 54 , 289 , 18.7 , 12 , 98 , 12.2 , 206 , 0.444 , 107 , 3 , 1 , 75.0 
,로하스,23두LF, 65 , 464 , 65 , 46 , 267 , 17.2 , 5 , 105 , 4.8 , 188 , 0.405 , 80 , 0 , 0 ,  
25,안치홍,23롯2B, 63 , 494 , 63 , 55 , 275 , 20.0 , 14 , 111 , 12.6 , 186 , 0.377 , 87 , 5 , 6 , 45.5 
,권희동,23NLF, 63 , 373 , 63 , 56 , 232 , 24.1 , 4 , 71 , 5.6 , 160 , 0.429 , 96 , 4 , 0 , 100.0 
,최주환,23S2B, 63 , 478 , 63 , 43 , 285 , 15.1 , 6 , 104 , 5.8 , 223 , 0.467 , 97 , 1 , 0 , 100.0 
28,오지환,23LSS, 62 , 502 , 62 , 54 , 286 , 18.9 , 4 , 97 , 4.1 , 202 , 0.402 , 107 , 4 , 2 , 66.7 
