순,이름,팀/포지션,정렬용,타석,<2&3B_N,<2&3B_%,O&2B_N,O&2B_%,O12_N,O12_%,O23_N,O23_%,O34_N,O34_%,O+_N,O+_%,H13_N,H13_%,H24_N,H24_%,D14_N,D14_%,H+_N,H+_%,ADV_N,ADV_%,ADV_G
1,홍창기,23LRF, 643 , 643 , 25 , 80.7 , 13 , 65.0 , 9 , 17.7 , 13 , 36.1 , 12 , 70.6 , 34 , 32.7 , 13 , 43.3 , 24 , 75.0 , 3 , 33.3 , 40 , 56.3 , 74 , 42.3 , 16 
2,김혜성,23키2B, 621 , 621 , 14 , 63.6 , 13 , 61.9 , 6 , 8.8 , 14 , 40.0 , 9 , 56.3 , 29 , 24.4 , 10 , 21.7 , 11 , 55.0 , 0 , 0.0 , 21 , 30.0 , 50 , 26.5 , -6 
3,손아섭,23NDH, 609 , 609 , 22 , 66.7 , 8 , 88.9 , 7 , 11.3 , 15 , 62.5 , 10 , 55.6 , 32 , 30.8 , 12 , 27.9 , 14 , 58.3 , 5 , 55.6 , 31 , 40.8 , 63 , 35.0 , 8 
4,소크라테스,23KCF, 608 , 608 , 24 , 63.2 , 15 , 75.0 , 12 , 12.8 , 22 , 52.4 , 15 , 55.6 , 49 , 30.1 , 11 , 24.4 , 18 , 69.2 , 3 , 33.3 , 32 , 40.0 , 81 , 33.3 , 10 
5,피렐라,23삼LF, 605 , 605 , 16 , 50.0 , 15 , 51.7 , 9 , 10.3 , 8 , 20.0 , 6 , 28.6 , 23 , 15.5 , 7 , 15.2 , 14 , 77.8 , 4 , 36.4 , 25 , 33.3 , 48 , 21.5 , -15 
6,채은성,23한1B, 596 , 596 , 10 , 55.6 , 12 , 63.2 , 3 , 4.4 , 8 , 28.6 , 4 , 44.4 , 15 , 14.2 , 13 , 28.3 , 18 , 78.3 , 3 , 50.0 , 34 , 45.3 , 49 , 27.1 , -4 
7,노시환,23한3B, 595 , 595 , 15 , 62.5 , 14 , 63.6 , 7 , 9.5 , 11 , 30.6 , 6 , 46.2 , 24 , 19.5 , 4 , 15.4 , 14 , 77.8 , 6 , 60.0 , 24 , 44.4 , 48 , 27.1 , -2 
8,오스틴,23L1B, 583 , 583 , 20 , 52.6 , 7 , 38.9 , 6 , 8.1 , 7 , 14.0 , 10 , 37.0 , 23 , 15.2 , 7 , 18.9 , 18 , 75.0 , 6 , 40.0 , 31 , 40.8 , 54 , 23.8 , -16 
,정수빈,23두CF, 583 , 583 , 24 , 77.4 , 4 , 66.7 , 9 , 20.0 , 15 , 65.2 , 5 , 50.0 , 29 , 37.2 , 4 , 18.2 , 8 , 47.1 , 1 , 25.0 , 13 , 30.2 , 42 , 34.7 , 5 
10,양석환,23두1B, 581 , 581 , 26 , 65.0 , 6 , 21.4 , 4 , 5.0 , 7 , 16.3 , 15 , 57.7 , 26 , 17.5 , 6 , 15.0 , 12 , 70.6 , 2 , 40.0 , 20 , 32.3 , 46 , 21.8 , -15 
11,전준우,23롯DH, 559 , 559 , 18 , 58.1 , 9 , 47.4 , 9 , 13.2 , 9 , 26.5 , 13 , 56.5 , 31 , 24.8 , 12 , 27.3 , 14 , 63.6 , 2 , 50.0 , 28 , 40.0 , 59 , 30.3 , -1 
12,박해민,23LCF, 558 , 558 , 38 , 76.0 , 9 , 45.0 , 11 , 16.2 , 12 , 30.0 , 2 , 16.7 , 25 , 20.8 , 11 , 25.0 , 16 , 66.7 , 1 , 50.0 , 28 , 40.0 , 53 , 27.9 , -3 
13,김현수,23LDH, 556 , 556 , 37 , 78.7 , 19 , 70.4 , 15 , 17.7 , 26 , 49.1 , 16 , 64.0 , 57 , 35.0 , 17 , 42.5 , 25 , 80.7 , 7 , 77.8 , 49 , 61.3 , 106 , 43.6 , 30 
14,최정,23S3B, 552 , 552 , 21 , 67.7 , 11 , 52.4 , 8 , 10.0 , 7 , 20.6 , 9 , 50.0 , 24 , 18.2 , 6 , 20.7 , 10 , 66.7 , 6 , 66.7 , 22 , 41.5 , 46 , 24.9 , -6 
15,알포드,23KLF, 547 , 547 , 13 , 59.1 , 14 , 58.3 , 3 , 4.2 , 7 , 17.5 , 5 , 38.5 , 15 , 12.1 , 4 , 11.8 , 12 , 66.7 , 6 , 46.2 , 22 , 33.9 , 37 , 19.6 , -17 
16,문보경,23L3B, 542 , 542 , 20 , 66.7 , 6 , 66.7 , 9 , 15.8 , 12 , 37.5 , 4 , 28.6 , 25 , 24.3 , 6 , 23.1 , 10 , 66.7 , 8 , 66.7 , 24 , 45.3 , 49 , 31.4 , 4 
17,이재현,23삼SS, 538 , 538 , 29 , 74.4 , 3 , 25.0 , 6 , 10.9 , 8 , 22.9 , 8 , 47.1 , 22 , 20.6 , 3 , 13.0 , 13 , 68.4 , 4 , 57.1 , 20 , 40.8 , 42 , 26.9 , -6 
18,문성주,23LLF, 534 , 534 , 26 , 68.4 , 9 , 45.0 , 12 , 18.8 , 11 , 30.6 , 12 , 50.0 , 35 , 28.2 , 6 , 17.1 , 10 , 50.0 , 1 , 50.0 , 17 , 29.8 , 52 , 28.7 , -2 
19,박건우,23NRF, 533 , 533 , 30 , 69.8 , 13 , 54.2 , 5 , 6.0 , 12 , 30.8 , 13 , 52.0 , 30 , 20.3 , 8 , 24.2 , 13 , 65.0 , 8 , 66.7 , 29 , 44.6 , 59 , 27.7 , -4 
20,박성한,23SSS, 529 , 529 , 19 , 79.2 , 6 , 46.2 , 11 , 18.3 , 18 , 47.4 , 10 , 76.9 , 39 , 35.1 , 12 , 37.5 , 12 , 52.2 , 0 , 0.0 , 24 , 40.0 , 63 , 36.8 , 10 
21,에레디아,23SLF, 523 , 523 , 17 , 68.0 , 11 , 55.0 , 3 , 4.2 , 13 , 34.2 , 5 , 45.5 , 21 , 17.4 , 10 , 23.8 , 20 , 76.9 , 6 , 54.6 , 36 , 45.6 , 57 , 28.5 , -3 
22,류지혁,23K삼3B, 522 , 522 , 25 , 80.7 , 4 , 25.0 , 7 , 13.7 , 11 , 32.4 , 7 , 53.9 , 25 , 25.5 , 9 , 22.5 , 12 , 66.7 , 3 , 100.0 , 24 , 39.3 , 49 , 30.8 , 1 
23,구자욱,23삼RF, 515 , 515 , 17 , 73.9 , 13 , 59.1 , 12 , 15.4 , 15 , 34.9 , 3 , 33.3 , 30 , 23.1 , 13 , 31.7 , 15 , 53.6 , 5 , 45.5 , 33 , 41.3 , 63 , 30.0 , 0 
24,김상수,23KSS, 512 , 512 , 25 , 80.7 , 8 , 50.0 , 7 , 12.3 , 13 , 37.1 , 7 , 53.9 , 27 , 25.7 , 5 , 18.5 , 12 , 63.2 , 3 , 37.5 , 20 , 37.0 , 47 , 29.6 , -1 
25,양의지,23두C, 509 , 509 , 17 , 77.3 , 16 , 72.7 , 2 , 3.5 , 7 , 26.9 , 5 , 62.5 , 14 , 15.2 , 8 , 25.8 , 13 , 59.1 , 2 , 20.0 , 23 , 36.5 , 37 , 23.9 , -9 
,박민우,23N2B, 509 , 509 , 21 , 70.0 , 15 , 71.4 , 9 , 11.8 , 17 , 54.8 , 8 , 57.1 , 34 , 28.1 , 12 , 29.3 , 13 , 56.5 , 2 , 50.0 , 27 , 39.7 , 61 , 32.3 , 5 
27,최형우,23KDH, 508 , 508 , 14 , 58.3 , 16 , 72.7 , 6 , 9.1 , 7 , 24.1 , 6 , 37.5 , 19 , 17.1 , 10 , 29.4 , 19 , 82.6 , 4 , 50.0 , 33 , 50.8 , 52 , 29.6 , -2 
28,박찬호,23KSS, 507 , 507 , 23 , 85.2 , 2 , 66.7 , 7 , 12.7 , 6 , 31.6 , 7 , 70.0 , 20 , 23.8 , 6 , 19.4 , 11 , 50.0 , 1 , 16.7 , 18 , 30.5 , 38 , 26.6 , -5 
29,마틴,23NCF, 503 , 503 , 21 , 65.6 , 14 , 58.3 , 4 , 5.6 , 13 , 24.5 , 13 , 59.1 , 30 , 20.4 , 13 , 33.3 , 18 , 75.0 , 5 , 62.5 , 36 , 50.7 , 66 , 30.3 , 1 
,최지훈,23SCF, 503 , 503 , 17 , 68.0 , 13 , 86.7 , 9 , 13.0 , 15 , 46.9 , 6 , 42.9 , 30 , 26.1 , 5 , 15.6 , 4 , 36.4 , 1 , 14.3 , 10 , 20.0 , 40 , 24.2 , -5 
31,오지환,23LSS, 502 , 502 , 18 , 78.3 , 9 , 81.8 , 6 , 10.3 , 13 , 41.9 , 6 , 66.7 , 25 , 25.5 , 12 , 44.4 , 14 , 82.4 , 5 , 50.0 , 31 , 57.4 , 56 , 36.8 , 11 
32,강민호,23삼C, 495 , 495 , 20 , 60.6 , 11 , 61.1 , 8 , 12.5 , 14 , 37.8 , 10 , 52.6 , 32 , 26.7 , 12 , 30.8 , 16 , 76.2 , 3 , 75.0 , 31 , 48.4 , 63 , 34.2 , 8 
