순,이름,팀/포지션,정렬용,타석,공격RAA_타격,공격RAA_도루,공격RAA_주루,종합,수비RAA_수비,수비RAA_포지션,수비RAA_종합,RAA-Adj,RAA,대체Run,RAR,RPW,WAA,WARBat,WAROff,WAR2,dWAA,WAR
1,노시환,23한3B, 6.83 , 595 , 41.3 , -0.5 , 3.3 , 44.1 , -1.0 , 0.5 , -0.5 , 43.1 , 43.6 , 29.4 , 73.1 , 10.03 , 4.3 , 6.60 , 6.88 , 6.93 , -0.10 , 6.83 
2,김혜성,23키2B, 6.48 , 621 , 30.5 , 3.2 , 1.2 , 34.9 , 2.9 , 1.0 , 3.8 , 37.8 , 38.7 , 30.7 , 69.5 , 9.95 , 3.9 , 5.65 , 6.09 , 6.19 , 0.29 , 6.48 
3,홍창기,23LRF, 6.20 , 643 , 39.1 , -5.7 , -2.5 , 30.9 , 10.2 , -6.3 , 3.9 , 41.0 , 34.8 , 31.8 , 66.6 , 9.88 , 3.5 , 6.63 , 5.80 , 5.17 , 1.03 , 6.20 
4,양의지,23두C, 5.79 , 509 , 30.9 , 1.2 , -2.3 , 29.7 , 3.8 , 2.8 , 6.6 , 33.6 , 36.4 , 25.2 , 61.6 , 9.93 , 3.7 , 5.23 , 5.12 , 5.40 , 0.38 , 5.79 
5,최정,23S3B, 5.63 , 552 , 36.0 , -0.3 , -0.4 , 35.4 , -1.6 , -0.6 , -2.2 , 33.8 , 33.2 , 27.3 , 60.6 , 9.99 , 3.3 , 5.91 , 5.84 , 5.78 , -0.16 , 5.63 
6,오스틴,23L1B, 5.19 , 583 , 37.1 , -0.3 , 1.8 , 38.6 , -0.4 , -10.7 , -11.1 , 38.3 , 27.5 , 28.9 , 56.4 , 9.99 , 2.8 , 6.14 , 6.30 , 5.22 , -0.04 , 5.19 
7,구자욱,23삼RF, 5.01 , 515 , 32.0 , 0.3 , 1.1 , 33.4 , 2.3 , -7.1 , -4.8 , 35.7 , 28.6 , 25.5 , 54.1 , 9.97 , 2.9 , 5.36 , 5.50 , 4.78 , 0.23 , 5.01 
8,박민우,23N2B, 4.91 , 509 , 14.3 , 1.8 , 2.3 , 18.4 , 8.4 , 0.6 , 9.0 , 26.9 , 27.5 , 25.2 , 52.6 , 9.83 , 2.8 , 3.57 , 4.00 , 4.05 , 0.86 , 4.91 
9,에레디아,23SLF, 4.73 , 523 , 24.9 , -1.4 , 1.3 , 24.8 , 6.1 , -5.7 , 0.5 , 30.9 , 25.3 , 25.9 , 51.2 , 9.89 , 2.6 , 4.69 , 4.69 , 4.12 , 0.62 , 4.73 
10,소크라테스,23KCF, 4.59 , 608 , 18.1 , 0.1 , 2.6 , 20.9 , 0.1 , -0.6 , -0.6 , 20.9 , 20.3 , 30.1 , 50.4 , 9.88 , 2.1 , 4.37 , 4.64 , 4.58 , 0.01 , 4.59 
11,정수빈,23두CF, 4.55 , 583 , 7.3 , 3.9 , 1.4 , 12.6 , 6.5 , 1.7 , 8.2 , 19.1 , 20.8 , 28.9 , 49.7 , 9.81 , 2.1 , 3.17 , 3.72 , 3.89 , 0.66 , 4.55 
12,이정후,23키CF, 4.54 , 387 , 19.8 , -0.4 , 0.7 , 20.1 , 8.3 , 0.5 , 8.8 , 28.4 , 28.9 , 19.2 , 48.1 , 9.88 , 2.9 , 3.61 , 3.65 , 3.70 , 0.84 , 4.54 
13,손아섭,23NDH, 4.44 , 609 , 28.4 , 1.0 , 2.0 , 31.5 , 0.5 , -13.0 , -12.6 , 31.9 , 18.9 , 30.1 , 49.1 , 9.94 , 1.9 , 5.40 , 5.70 , 4.39 , 0.05 , 4.44 
14,문보경,23L3B, 4.28 , 542 , 20.4 , -2.4 , -1.3 , 16.7 , 1.5 , 1.7 , 3.2 , 18.2 , 20.0 , 26.8 , 46.8 , 9.86 , 2.0 , 4.33 , 3.95 , 4.13 , 0.15 , 4.28 
15,박찬호,23KSS, 4.14 , 507 , 4.8 , 2.2 , 3.2 , 10.2 , 4.4 , 5.3 , 9.7 , 14.6 , 19.9 , 25.1 , 45.0 , 9.81 , 2.0 , 2.60 , 3.15 , 3.69 , 0.45 , 4.14 
16,김도영,23K3B, 4.13 , 385 , 15.0 , 3.0 , 1.4 , 19.4 , 4.2 , 1.3 , 5.6 , 23.7 , 25.0 , 19.1 , 44.1 , 9.91 , 2.5 , 3.12 , 3.57 , 3.70 , 0.43 , 4.13 
17,오지환,23LSS, 4.11 , 502 , 12.7 , -0.1 , -0.1 , 12.5 , 2.2 , 5.1 , 7.4 , 14.8 , 19.9 , 24.8 , 44.7 , 9.84 , 2.0 , 3.39 , 3.37 , 3.89 , 0.23 , 4.11 
18,박건우,23NRF, 3.99 , 533 , 29.9 , -1.1 , -0.8 , 28.0 , -2.6 , -7.8 , -10.4 , 25.4 , 17.6 , 26.4 , 44.0 , 9.95 , 1.8 , 5.22 , 5.03 , 4.25 , -0.26 , 3.99 
