이름,순,팀/포지션,정렬용,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고의4구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,도루,도실,도루%,도루기회,도루시도%,도루상황2,도루상황3,도루상황4,도실상황2,도실상황3,도실상황4,도루%상황2,도루%상황3,도루%상황4,견제아웃,무도,포일,RA,FIPRA,F-E,R-E,BABIP,LOB%,조정ERA,조정FIP,조정RA,조정FIPRA,조정ERA+,조정FIP+,kwERA,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,타율,출루율,장타율,OPS,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP,땅볼,뜬공,GO/FO,InP%,타구내야%,타구외야%,내야타율,외야타율,내야뜬공N,내야뜬공%,내야안타N,내야안타%,실책출루,포스O출루,번트안타,번트아웃,번트타율,번트시도,번트%,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%,구종가치_직구,구종가치_슬라,구종가치_커브,구종가치_첸졉,구종가치_스플,구종가치_싱커,구종가치_너클,구종가치_기타,직구/100,슬라/100,커브/100,첸졉/100,스플/100,싱커/100,너클/100,기타/100,등판,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프_홀드,터프_세,터프_블론,IR,IS,Rel%,enLI,avLI%,구원WAR,구원WPA,득점%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%,QS,QS%,QS+,QS+%,QK,TL,CW,득점지원,등판시팀승,등판시팀패,등판시승률,구원지원BW,구원지원BL,구원지원LIR,구원지원LIS,구원지원%,AGS%,IP/GS,P/GS,선발WAR,선발WPA,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,종합WAR,fWAR,RA9-WAR,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,pLI,WPA/LI,Clutch
강건,113,23K,0.24,4,0,0,0,0,0,1,0,6.2,1,1,28,4,2,0,0,3,0,0,8,0,1, 1.35 , 2.39 , 1.05 , 312.8 , 176.9 ,0.24,-0.1,0,0,  ,10, 0.0 ,0,0,0,0,0,0,  ,  ,  ,0,0,1, 1.35 , 2.68 , 1.04 , 0.00 ,0.25, 85.7 , 1.33 , 2.35 , 1.33 , 2.63 , 312.8 , 176.9 ,3.26, 10.80 , 4.05 , 2.67 , 0.00 ,28.6,10.7,17.9, 1.65 ,0.167,0.259,0.25,0.509, 1.05 ,108.0,1.7,27.0, 16.2 ,3.86,3.1,7,5, 1.40 ,57.1,43.8,56.3, .000 , .444 ,0, 0.0 ,0, 0.0 ,1,0,0,0,  ,0,  ,43.8,25.0,31.3,37.5,37.5,7,4,5,6,6,3,1,0,1,2, .429 , .250 , .000 , .167 , .333 ,33.9,15.4,24.6,26.2,60.2,39.8,39.8,28.6,23.3,11.0, 46.7 , 42.3 ,4,4, 50.0 ,60,6, 10.0 , 144.1 , 137.4 , 125.2 ,  , 133.7 ,  ,  ,  ,45.4,15.7,33.3,0.0,5.6,0.0,0.0,0.0,55.8,25.0,39.8,89.7, 50.0 ,76.7,48.1,-0.4,0.2,1.6,0.0,0.3,0.0,0.0,0.0, -0.87 , 1.35 , 4.49 ,  , 5.48 ,  ,  ,  ,4,0,0,0, 100.0 ,3,1,0,0,0,1,1, 100.0 ,0.3, 0.45 , 0.24 ,-0.1, 14.3 ,0,3, 0.0 ,1,0, 100.0 ,1, 50.0 ,0,  ,0, 0.0 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,3,0, 0.0 ,  ,  ,  ,0.0,0.0,  , 2.19 ,2.19,0.0,0.83,0.75,  , 2.35 ,2.35,0.0, 0.15 ,0.15,0.24,0.24,0.24,1.71,-0.25,1.47,0.15,-0.09,-0.01,0.17,-0.27,0.45,-0.07, -0.16 
강재민,253,23한,-0.37,43,0,0,0,1,3,0,12,43.1,31,31,189,35,10,1,5,19,0,8,42,0,0, 6.44 , 4.87 , 1.25 , 64.5 , 85.2 ,-0.37,-1.03,3,3, 50.0 ,60, 10.0 ,3,0,0,3,0,0, 50.0 ,  ,  ,0,0,0, 6.44 , 5.46 , -1.57 , 0.00 ,0.263, 56.4 , 6.43 , 4.87 , 6.43 , 5.45 , 64.5 , 85.2 ,3.94, 8.72 , 3.95 , 2.21 , 1.04 ,22.2,10.1,12.2, 1.41 ,0.224,0.33,0.397,0.727, 1.43 ,785.0,1.0,18.3, 18.1 ,4.15,-4.1,33,46, 0.72 ,63.0,43.9,56.1, .060 , .500 ,14, 30.4 ,3, 8.6 ,1,1,0,4, .000 ,7, 0.0 ,39.5,24.6,36.0,32.5,43.0,45,28,41,37,49,15,8,12,12,15, .333 , .286 , .293 , .324 , .306 ,28.1,13.6,33.7,24.6,62.0,38.0,44.6,27.5,18.9,9.9, 73.3 , 37.0 ,32,10, 23.8 ,182,14, 7.7 , 141.7 , 124.6 , 119.6 ,  , 134.9 , 140.1 ,  ,  ,43.9,33.9,8.6,0.0,8.6,5.0,0.0,0.0,67.3,26.7,44.6,88.0, 67.5 ,81.1,44.1,1.1,-2.8,1.8,0.0,-2.3,-2.7,0.0,0.0, 0.32 , -1.09 , 2.76 ,  , -3.51 , -7.15 ,  ,  ,43,3,1,4, 0.0 ,-10,1,2,0,1,19,7, 36.8 ,1.46, 1.33 , -0.37 ,-1.03, 50.0 ,1,40, 2.5 ,1,3, 25.0 ,10, 76.9 ,2, 40.0 ,12, 17.7 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,10,7, 70.0 ,  ,  ,  ,0.0,0.0,  , -6.95 ,-6.95,0.0,5.72,8.31,  , 0.23 ,0.23,0.0, -0.94 ,-0.94,-0.37,-0.37,-0.37,-4.21,0.51,-3.7,-0.37,-1.19,0.16,4.0,-5.02,1.33,-0.18, -0.59 
강효종,257,23L,-0.45,7,0,0,7,1,2,0,0,21.2,18,15,103,25,3,0,1,12,0,2,14,1,0, 6.23 , 4.69 , 1.71 , 65.5 , 87.5 ,-0.45,-0.6,3,1, 75.0 ,49, 8.2 ,3,0,0,1,0,0, 75.0 ,  ,  ,0,0,1, 7.48 , 5.25 , -1.54 , 1.25 ,0.338, 55.9 , 6.33 , 4.74 , 7.60 , 5.31 , 65.5 , 87.5 ,5.17, 5.82 , 4.99 , 1.17 , 0.42 ,13.6,11.7,1.9, 1.20 ,0.298,0.39,0.369,0.759, 1.80 ,446.0,3.1,63.7, 20.6 ,4.33,-1.8,28,18, 1.56 ,69.9,42.9,57.1, .033 , .600 ,2, 11.1 ,1, 4.0 ,2,7,0,0,  ,2, 0.0 ,44.3,24.3,31.4,40.0,35.7,31,17,22,28,25,10,9,6,7,9, .323 , .529 , .273 , .250 , .360 ,30.1,10.5,31.2,28.2,59.6,40.4,41.7,24.3,15.1,7.6, 83.3 , 36.8 ,11,3, 21.4 ,149,9, 6.0 , 145.6 , 135.1 , 128.5 , 137.0 ,  ,  ,  ,  ,44.5,38.7,13.9,2.9,0.0,0.0,0.0,0.0,63.0,26.8,41.5,94.7, 70.4 ,85.4,40.6,-5.7,0.9,0.1,0.1,0.0,0.0,0.0,0.0, -2.90 , 0.53 , 0.19 , 0.52 ,  ,  ,  ,  ,0,0,0,0,  ,0,0,0,0,0,0,0,  ,0.0,  ,  ,0.0, 38.5 ,3,28, 10.7 ,3,0, 100.0 ,6, 85.7 ,3, 75.0 ,15, 37.5 ,0, 0.0 ,0, 0.0 ,4,0,1,4.57,3,4, 42.9 ,0,2,6,3, 50.0 , 43.29 , 3.10 , 63.71 ,-0.45,-0.6, -7.61 ,  ,-7.61,3.06,0.0,3.82, -3.78 ,  ,-3.78,-0.74,  ,-0.74,-0.45,-0.45,-0.45,-4.6,-0.61,-5.21,-0.53,-0.54,-0.05,1.73,-2.33,1.12,-0.51, -0.02 
고봉재,170,23두,-0.01,10,0,0,0,0,0,0,0,11.1,8,8,53,12,2,1,0,7,0,1,7,0,0, 6.35 , 4.33 , 1.68 , 64.1 , 95.9 ,-0.01,-0.21,4,1, 80.0 ,24, 20.8 ,4,0,0,1,0,0, 80.0 ,  ,  ,0,0,0, 6.35 , 4.84 , -2.03 , 0.00 ,0.324, 60.0 , 6.47 , 4.33 , 6.47 , 4.84 , 64.1 , 95.9 ,5.4, 5.56 , 5.56 , 1.00 , 0.00 ,13.2,13.2,0.0, 1.24 ,0.286,0.385,0.381,0.766, 1.77 ,217.0,1.1,21.7, 19.2 ,4.09,-1.6,15,8, 1.88 ,69.8,48.6,51.4, .000 , .667 ,2, 25.0 ,0, 0.0 ,1,3,0,0,  ,0,  ,28.6,22.9,48.6,40.0,37.1,10,8,17,14,13,2,4,6,2,6, .200 , .500 , .353 , .143 , .462 ,29.6,6.4,33.6,30.4,57.6,42.4,40.6,18.9,9.1,4.5, 81.6 , 32.1 ,5,2, 28.6 ,66,5, 7.6 , 135.8 , 119.7 , 116.6 , 123.9 ,  , 134.1 ,  ,  ,44.4,8.8,2.3,14.4,0.0,30.1,0.0,0.0,64.0,28.2,40.6,97.9, 82.5 ,90.9,34.6,-2.8,-0.3,-0.0,-2.3,0.0,1.0,0.0,0.0, -2.93 , -1.65 , -0.22 , -7.48 ,  , 1.49 ,  ,  ,10,0,0,0,  ,0,0,0,0,0,8,4, 50.0 ,0.27, 0.18 , -0.01 ,-0.21, 40.0 ,1,9, 11.1 ,1,0, 100.0 ,6, 100.0 ,2, 100.0 ,6, 33.3 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,7,2, 28.6 ,  ,  ,  ,0.0,0.0,  , -2.07 ,-2.07,0.0,1.5,1.1,  , -0.12 ,-0.12,0.0, -0.16 ,-0.16,-0.01,-0.01,-0.01,-4.45,-0.12,-4.57,-0.46,-0.18,-0.03,0.11,-0.32,0.18,-0.24, -0.95 
고영표,2,23K,6.14,28,0,0,27,12,7,0,0,174.2,57,54,706,181,27,5,7,19,1,9,114,0,6, 2.78 , 3.12 , 1.15 , 151.8 , 133.7 ,6.14,3.34,19,8, 70.4 ,236, 11.4 ,17,2,0,7,1,0, 70.8 , 66.7 ,  ,4,0,0, 2.94 , 3.50 , 0.34 , 0.15 ,0.314, 76.3 , 2.73 , 3.10 , 2.89 , 3.47 , 151.8 , 133.7 ,3.79, 5.87 , 0.98 , 6.00 , 0.36 ,16.1,2.7,13.5, 0.76 ,0.269,0.297,0.355,0.652, 1.20 ,2453.0,6.2,87.6, 14.0 ,3.48,56.7,228,151, 1.51 ,79.6,53.3,46.7, .074 , .609 ,49, 32.5 ,22, 12.2 ,6,19,1,2, .333 ,14, 7.1 ,35.8,22.7,41.5,40.1,37.2,200,127,232,224,208,64,60,57,64,57, .320 , .472 , .246 , .286 , .274 ,27.1,15.1,26.0,31.8,72.4,27.6,52.8,34.6,20.7,14.2, 79.0 , 26.4 ,94,20, 17.5 ,435,34, 7.8 , 134.6 , 124.6 , 113.4 , 116.5 ,  , 134.4 ,  ,  ,25.2,2.2,14.3,37.8,0.0,20.6,0.0,0.0,65.4,41.6,52.6,88.4, 67.3 ,79.5,46.4,9.5,-2.4,2.8,30.0,0.0,-0.8,0.0,0.0, 1.54 , -4.46 , 0.80 , 3.25 ,  , -0.16 ,  ,  ,1,0,0,0,  ,0,0,0,0,0,2,1, 50.0 ,0.14, 2.51 , 0.07 ,-0.08, 25.8 ,16,112, 14.3 ,2,5, 28.6 ,14, 50.0 ,8, 44.4 ,44, 18.7 ,21, 77.8 ,17, 63.0 ,2,2,0,4.14,16,10, 61.5 ,3,1,4,0, 0.0 , 56.15 , 6.44 , 90.44 ,6.06,3.42, 34.63 , 0.36 ,34.99,20.37,0.08,25.64, 60.09 , 0.82 ,60.91,3.74, 0.06 ,3.81,6.14,6.14,6.14,39.46,-0.08,39.38,3.98,3.45,-0.11,14.84,-11.51,1.06,3.0, 0.14 
고우석,72,23L,0.98,44,0,0,0,3,8,15,0,44.0,19,18,190,38,6,0,2,22,1,4,59,0,5, 3.68 , 3.06 , 1.36 , 110.9 , 134.3 ,0.98,-0.75,4,0, 100.0 ,68, 5.9 ,4,0,0,0,0,0, 100.0 ,  ,  ,0,0,1, 3.89 , 3.42 , -0.63 , 0.20 ,0.356, 73.5 , 3.74 , 3.09 , 3.95 , 3.46 , 110.9 , 134.3 ,3.06, 12.07 , 4.50 , 2.68 , 0.41 ,31.1,11.6,19.5, 1.84 ,0.235,0.34,0.309,0.649, 1.46 ,799.0,1.0,18.2, 18.2 ,4.21,12.9,36,30, 1.20 ,54.2,43.7,56.3, .067 , .603 ,7, 23.3 ,3, 7.9 ,1,4,0,2, .000 ,5, 0.0 ,36.9,26.2,36.9,35.0,38.8,38,27,38,36,40,16,12,10,10,16, .421 , .444 , .263 , .278 , .400 ,22.9,24.3,31.4,21.4,61.3,38.7,47.3,30.5,31.5,17.2, 63.5 , 32.3 ,51,8, 13.6 ,243,15, 6.2 , 152.5 , 145.2 , 133.5 , 144.7 ,  ,  ,  ,  ,57.1,26.2,16.4,0.4,0.0,0.0,0.0,0.0,68.0,31.4,47.2,82.5, 46.2 ,68.7,43.1,8.7,-4.1,2.1,0.1,0.0,0.0,0.0,0.0, 1.90 , -1.98 , 1.60 , 3.87 ,  ,  ,  ,  ,44,2,0,2, 88.2 ,36,18,0,5,0,21,4, 19.1 ,1.92, 2.14 , 0.98 ,-0.75, 28.1 ,5,37, 13.5 ,2,3, 40.0 ,4, 40.0 ,2, 40.0 ,20, 26.0 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,3,0, 0.0 ,  ,  ,  ,0.0,0.0,  , 3.28 ,3.28,0.0,5.7,11.18,  , 16.33 ,16.33,0.0, 0.40 ,0.4,0.98,0.98,0.98,6.49,-1.91,4.58,0.46,-0.1,-0.64,7.0,-7.75,2.14,0.57, -0.92 
고효준,100,23S,0.43,73,0,0,0,4,1,0,13,58.0,32,29,262,49,3,0,3,42,0,3,66,0,4, 4.50 , 4.17 , 1.57 , 93.0 , 101.1 ,0.43,0.08,2,2, 50.0 ,104, 3.9 ,2,0,0,2,0,0, 50.0 ,  ,  ,1,0,1, 4.97 , 4.66 , -0.33 , 0.47 ,0.317, 69.0 , 4.46 , 4.11 , 4.92 , 4.60 , 93.0 , 101.1 ,4.3, 10.24 , 6.52 , 1.57 , 0.47 ,25.2,16.0,9.2, 1.86 ,0.232,0.363,0.289,0.652, 1.62 ,1214.0,0.8,16.6, 20.9 ,4.63,10.6,41,56, 0.73 ,56.5,42.8,57.2, .081 , .530 ,17, 30.4 ,5, 10.2 ,3,5,0,2, .000 ,7, 0.0 ,40.0,18.6,40.7,38.6,42.1,58,27,59,56,61,18,12,18,15,21, .310 , .444 , .305 , .268 , .344 ,34.7,16.2,27.8,21.4,58.2,41.9,38.0,18.3,24.7,10.7, 71.1 , 38.8 ,46,20, 30.3 ,525,27, 5.1 , 143.6 , 130.6 , 122.7 , 127.0 , 128.9 ,  ,  ,  ,45.5,52.9,0.7,0.1,0.8,0.0,0.0,0.0,56.4,25.9,37.8,88.4, 57.8 ,75.6,39.0,11.7,-2.0,-0.5,0.3,-0.7,0.0,0.0,0.0, 2.11 , -0.31 , -5.03 , 27.60 , -6.51 ,  ,  ,  ,73,2,1,3, 0.0 ,2,4,3,0,0,50,9, 18.0 ,1.27, 1.17 , 0.43 ,0.08, 30.9 ,5,62, 8.1 ,3,5, 37.5 ,9, 56.3 ,1, 16.7 ,26, 21.5 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,29,12, 41.4 ,  ,  ,  ,0.0,0.0,  , -1.51 ,-1.51,0.0,7.57,10.26,  , 8.62 ,8.62,0.0, -0.34 ,-0.34,0.43,0.43,0.43,8.69,-0.31,8.38,0.85,0.19,-0.11,4.99,-4.91,1.17,0.23, -0.16 
곽도규,229,23K,-0.19,14,0,0,0,0,0,0,0,11.2,11,11,61,14,2,0,0,10,0,2,14,0,1, 8.49 , 4.13 , 2.06 , 48.7 , 100.7 ,-0.19,-0.07,2,0, 100.0 ,27, 7.4 ,1,1,0,0,0,0, 100.0 , 100.0 ,  ,0,0,0, 8.49 , 4.62 , -4.36 , 0.00 ,0.452, 57.7 , 8.52 , 4.12 , 8.52 , 4.61 , 48.7 , 100.7 ,4.61, 10.80 , 7.71 , 1.40 , 0.00 ,23.0,16.4,6.6, 2.06 ,0.311,0.456,0.356,0.812, 2.23 ,230.0,0.8,16.4, 19.7 ,3.77,-3.8,9,8, 1.13 ,50.8,38.7,61.3, .167 , .632 ,1, 12.5 ,2, 14.3 ,0,1,0,0,  ,1, 0.0 ,38.7,25.8,35.5,45.2,29.0,12,8,11,14,9,6,5,3,6,3, .500 , .625 , .273 , .429 , .333 ,43.1,14.6,15.4,26.9,56.5,43.5,32.2,18.0,25.7,9.7, 53.3 , 40.0 ,11,3, 21.4 ,73,5, 6.9 , 144.0 , 127.7 , 126.7 ,  ,  , 144.7 ,  ,  ,12.7,9.6,13.1,0.0,0.0,64.6,0.0,0.0,51.6,19.0,32.2,87.5, 50.0 ,74.3,40.4,-1.1,1.4,-2.2,0.0,0.0,-1.8,0.0,0.0, -3.71 , 6.50 , -7.40 ,  ,  , -1.21 ,  ,  ,14,0,0,0,  ,0,0,0,0,0,12,5, 41.7 ,0.56, 0.23 , -0.19 ,-0.07, 42.3 ,0,14, 0.0 ,4,0, 100.0 ,7, 63.6 ,2, 50.0 ,5, 16.1 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,9,5, 55.6 ,  ,  ,  ,0.0,0.0,  , -5.07 ,-5.07,0.0,1.56,1.2,  , -1.92 ,-1.92,0.0, -0.34 ,-0.34,-0.19,-0.19,-0.19,-3.61,-0.59,-4.19,-0.42,-0.06,-0.01,0.18,-0.25,0.23,-0.08, -0.21 
곽빈,7,23두,4.18,23,0,0,23,12,7,0,0,127.1,44,41,526,96,18,1,7,58,0,5,106,1,4, 2.90 , 3.98 , 1.21 , 140.6 , 102.2 ,4.18,2.46,3,4, 42.9 ,168, 4.2 ,3,0,0,4,0,0, 42.9 ,  ,  ,1,0,1, 3.11 , 4.45 , 1.08 , 0.21 ,0.26, 77.1 , 2.95 , 4.06 , 3.17 , 4.54 , 140.6 , 102.2 ,4.3, 7.49 , 4.10 , 1.83 , 0.50 ,20.2,11.0,9.1, 1.29 ,0.212,0.306,0.303,0.61, 1.25 ,2229.0,5.5,96.9, 17.5 ,4.24,45.3,93,157, 0.59 ,66.5,43.9,56.1, .092 , .423 ,45, 28.7 ,14, 14.6 ,3,7,0,3, .000 ,6, 0.0 ,41.3,20.5,38.2,38.2,41.3,143,71,132,132,143,39,22,35,39,35, .273 , .310 , .265 , .296 , .245 ,29.1,16.8,28.2,25.9,61.9,38.1,43.9,26.1,23.7,12.4, 74.8 , 37.1 ,86,20, 18.9 ,590,43, 7.3 , 147.8 , 136.8 , 118.2 , 129.7 , 130.0 ,  ,  ,  ,43.3,22.7,18.2,15.8,0.0,0.0,0.0,0.0,63.5,29.4,43.9,86.0, 60.8 ,76.3,42.4,6.2,10.8,7.1,5.2,0.2,0.0,0.0,0.0, 0.65 , 2.17 , 1.77 , 1.49 , 24.20 ,  ,  ,  ,0,0,0,0,  ,0,0,0,0,0,0,0,  ,0.0,  ,  ,0.0, 25.8 ,6,105, 5.7 ,7,2, 77.8 ,17, 73.9 ,4, 57.1 ,34, 19.3 ,13, 56.5 ,5, 21.7 ,5,2,3,4.67,15,8, 65.2 ,1,0,8,6, 75.0 , 56.26 , 5.54 , 96.61 ,4.18,2.46, 23.58 ,  ,23.58,15.25,0.0,19.06, 42.64 ,  ,42.64,2.48,  ,2.48,4.18,4.18,4.18,29.19,1.08,30.27,3.06,2.43,0.03,9.9,-7.44,1.05,2.08, 0.26 
구승민,76,23롯,0.86,67,0,0,0,2,6,3,22,63.2,32,28,289,65,8,0,4,29,0,5,66,0,2, 3.96 , 3.79 , 1.48 , 105.1 , 108.6 ,0.86,-0.45,2,3, 40.0 ,109, 4.6 ,2,0,0,2,0,1, 50.0 ,  , 0.0 ,0,0,0, 4.52 , 4.24 , -0.17 , 0.57 ,0.345, 71.7 , 3.95 , 3.82 , 4.51 , 4.28 , 105.1 , 108.6 ,3.86, 9.33 , 4.10 , 2.28 , 0.57 ,22.8,10.0,12.8, 1.49 ,0.264,0.352,0.346,0.698, 1.56 ,1169.0,1.0,17.5, 18.4 ,4.05,12.4,53,62, 0.86 ,62.6,40.0,60.0, .069 , .556 ,14, 22.6 ,5, 7.7 ,2,8,1,1, .500 ,8, 12.5 ,39.4,27.8,32.8,33.3,38.9,71,50,59,60,70,29,19,17,21,25, .409 , .380 , .288 , .350 , .357 ,28.4,16.2,29.2,26.2,61.8,38.2,44.2,31.8,22.6,11.9, 70.8 , 36.7 ,46,20, 30.3 ,338,29, 8.6 , 145.7 , 134.9 , 123.0 ,  , 132.7 ,  ,  ,  ,44.0,9.6,0.2,0.0,46.2,0.0,0.0,0.0,68.6,28.3,44.2,83.3, 68.0 ,77.4,39.5,1.5,-0.5,0.1,0.0,3.9,0.0,0.0,0.0, 0.29 , -0.47 , 7.30 ,  , 0.72 ,  ,  ,  ,67,5,1,6, 37.5 ,-9,5,4,0,2,33,11, 33.3 ,1.64, 1.75 , 0.86 ,-0.44, 28.3 ,0,66, 0.0 ,8,2, 80.0 ,13, 68.4 ,2, 33.3 ,27, 22.7 ,0,  ,0,  ,0,0,0,0.0,0,0,  ,0,0,26,9, 34.6 ,  ,  ,  ,0.0,0.0,  , 1.46 ,1.46,0.0,8.28,14.22,  , 16.22 ,16.22,0.0, 0.01 ,0.01,0.86,0.86,0.86,5.04,-0.41,4.63,0.47,-0.27,-0.17,7.78,-8.22,1.75,0.05, -0.30 
