순,이름,팀/포지션,정렬용,출장,이닝,도루,도실,도루%,도루기회,도루시도%,도루상황2,도루상황3,도루상황4,도실상황2,도실상황3,도실상황4,도루%상황2,도루%상황3,도루%상황4,견제아웃,무도,보크,포일,폭투
1,최원태,23키L, 27 , 26 , 146.2 , 27 , 7 , 79.4 , 219 , 15.5 , 26 , 0 , 1 , 7 , 0 , 0 , 78.8 ,  , 100.0 , 0 , 0 , 0 , 0 , 6 
2,박종훈,23S, 23 , 18 , 80.0 , 23 , 5 , 82.1 , 163 , 17.2 , 21 , 1 , 1 , 4 , 0 , 1 , 84.0 , 100.0 , 50.0 , 1 , 0 , 0 , 0 , 2 
3,와이드너,23N삼, 21 , 21 , 115.0 , 21 , 1 , 95.5 , 172 , 12.8 , 21 , 0 , 0 , 1 , 0 , 0 , 95.5 ,  ,  , 0 , 0 , 0 , 1 , 3 
4,페디,23N, 20 , 30 , 180.1 , 20 , 10 , 66.7 , 214 , 14.0 , 20 , 0 , 0 , 9 , 1 , 0 , 69.0 , 0.0 ,  , 1 , 0 , 0 , 1 , 5 
,켈리,23L, 20 , 30 , 178.2 , 20 , 2 , 90.9 , 248 , 8.9 , 19 , 1 , 0 , 2 , 0 , 0 , 90.5 , 100.0 ,  , 1 , 0 , 0 , 1 , 6 
,오원석,23S, 20 , 28 , 144.2 , 20 , 9 , 69.0 , 263 , 11.0 , 18 , 2 , 0 , 7 , 0 , 2 , 72.0 , 100.0 , 0.0 , 0 , 0 , 0 , 2 , 11 
7,고영표,23K, 19 , 28 , 174.2 , 19 , 8 , 70.4 , 236 , 11.4 , 17 , 2 , 0 , 7 , 1 , 0 , 70.8 , 66.7 ,  , 4 , 0 , 0 , 0 , 6 
8,한현희,23롯, 18 , 38 , 104.0 , 18 , 6 , 75.0 , 185 , 13.0 , 17 , 1 , 0 , 5 , 1 , 0 , 77.3 , 50.0 ,  , 1 , 0 , 0 , 0 , 6 
9,정우영,23L, 17 , 60 , 51.2 , 17 , 1 , 94.4 , 111 , 16.2 , 13 , 4 , 0 , 1 , 0 , 0 , 92.9 , 100.0 ,  , 0 , 0 , 1 , 2 , 2 
10,후라도,23키, 16 , 30 , 183.2 , 16 , 3 , 84.2 , 262 , 7.3 , 15 , 1 , 0 , 3 , 0 , 0 , 83.3 , 100.0 ,  , 1 , 0 , 0 , 2 , 5 
