순,이름,팀/포지션,정렬용,출장,이닝,ERA,FIP,RA,FIPRA,F-E,R-E,BABIP,LOB%,조정ERA,조정FIP,조정RA,조정FIPRA,조정ERA+,조정FIP+,kwERA
1,박민호,23S, 465.0 , 10 , 10.0 , 0.90 , 3.54 , 2.70 , 3.97 , 2.64 , 1.80 , .350 , 82.4 , 0.89 , 3.52 , 2.68 , 3.94 , 465.0 , 117.8 , 4.63 
2,강건,23K, 312.8 , 4 , 6.2 , 1.35 , 2.39 , 1.35 , 2.68 , 1.04 , 0.00 , .250 , 85.7 , 1.33 , 2.35 , 1.33 , 2.63 , 312.8 , 176.9 , 3.26 
3,윤정현,23키, 273.8 , 5 , 6.0 , 1.50 , 5.78 , 3.00 , 6.47 , 4.28 , 1.50 , .278 , 81.8 , 1.52 , 5.80 , 3.03 , 6.50 , 273.8 , 71.5 , 7.25 
4,백승현,23L, 259.1 , 42 , 40.0 , 1.58 , 3.87 , 1.58 , 4.33 , 2.29 , 0.00 , .236 , 90.3 , 1.60 , 3.91 , 1.60 , 4.38 , 259.1 , 106.0 , 4.51 
5,함덕주,23L, 252.5 , 57 , 55.2 , 1.62 , 2.80 , 1.94 , 3.13 , 1.18 , 0.32 , .231 , 80.6 , 1.64 , 2.80 , 1.97 , 3.14 , 252.5 , 148.0 , 3.40 
6,주현상,23한, 211.7 , 55 , 59.2 , 1.96 , 3.22 , 1.96 , 3.61 , 1.26 , 0.00 , .209 , 79.7 , 1.96 , 3.23 , 1.96 , 3.61 , 211.7 , 128.5 , 3.82 
7,페디,23N, 208.6 , 30 , 180.1 , 2.00 , 2.42 , 2.30 , 2.71 , 0.43 , 0.30 , .287 , 79.6 , 1.99 , 2.38 , 2.29 , 2.67 , 208.6 , 174.2 , 2.45 
8,김창훈,23롯, 200.3 , 3 , 4.1 , 2.08 , 3.67 , 2.08 , 4.11 , 1.60 , 0.00 , .333 , 83.3 , 2.07 , 3.67 , 2.07 , 4.10 , 200.3 , 113.1 , 5.40 
9,최지민,23K, 194.5 , 58 , 59.1 , 2.12 , 4.30 , 2.58 , 4.82 , 2.18 , 0.46 , .250 , 83.6 , 2.13 , 4.34 , 2.59 , 4.86 , 194.5 , 95.6 , 4.51 
10,류진욱,23N, 193.8 , 70 , 67.0 , 2.15 , 3.22 , 2.55 , 3.60 , 1.07 , 0.40 , .238 , 75.8 , 2.14 , 3.18 , 2.54 , 3.56 , 193.8 , 130.3 , 4.06 
11,전상현,23K, 192.4 , 64 , 58.2 , 2.15 , 3.14 , 3.07 , 3.51 , 0.99 , 0.92 , .295 , 75.4 , 2.16 , 3.16 , 3.08 , 3.54 , 192.4 , 131.3 , 4.25 
12,김진성,23L, 187.6 , 80 , 70.1 , 2.18 , 4.07 , 2.18 , 4.55 , 1.89 , 0.00 , .205 , 89.6 , 2.21 , 4.17 , 2.21 , 4.67 , 187.6 , 99.4 , 3.49 
13,윌커슨,23롯, 184.1 , 13 , 79.2 , 2.26 , 2.73 , 3.16 , 3.05 , 0.47 , 0.90 , .296 , 71.9 , 2.25 , 2.74 , 3.15 , 3.07 , 184.1 , 151.4 , 3.16 
14,이건욱,23S, 179.8 , 27 , 38.2 , 2.33 , 3.78 , 3.03 , 4.23 , 1.45 , 0.70 , .287 , 77.6 , 2.31 , 3.77 , 3.00 , 4.22 , 179.8 , 110.1 , 4.97 
15,이상규,23L, 173.8 , 8 , 7.2 , 2.35 , 3.83 , 2.35 , 4.29 , 1.49 , 0.00 , .304 , 83.3 , 2.39 , 3.83 , 2.39 , 4.29 , 173.8 , 108.2 , 5.05 
16,홍원표,23삼, 172.5 , 3 , 3.2 , 2.45 , 4.53 , 2.45 , 5.07 , 2.08 , 0.00 , .167 , 75.0 , 2.40 , 4.55 , 2.40 , 5.09 , 172.5 , 91.2 , 6.20 
17,안우진,23키, 171.9 , 24 , 150.2 , 2.39 , 2.45 , 2.63 , 2.75 , 0.06 , 0.24 , .294 , 75.8 , 2.41 , 2.52 , 2.65 , 2.82 , 171.9 , 164.8 , 2.91 
