순,이름,팀/포지션,정렬용,출장,이닝,ERA,FIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,PFR,BABIP,LOB%,타율,출루율,장타율,OPS,WHIP,WHIP+,투구,IP/G,P/G,P/IP,P/PA,CYP
2,강건,23K, 2.39 , 4 , 6.2 , 1.35 , 2.39 , 10.80 , 4.05 , 2.67 , 0.00 , 28.6 , 10.7 , 17.9 , 1.65 , .250 , 85.7 , .167 , .259 , .250 , .509 , 1.05 , 1.05 , 108 , 1.7 , 27.0 , 16.2 , 3.86 , 3.1 
3,조영건,23키, 2.40 , 6 , 7.2 , 0.00 , 2.40 , 8.22 , 2.35 , 3.50 , 0.00 , 25.9 , 7.4 , 18.5 , 1.17 , .278 , 100.0 , .200 , .259 , .240 , .499 , 0.91 , 0.91 , 101 , 1.3 , 16.8 , 13.2 , 3.74 , 4.5 
4,페디,23N, 2.42 , 30 , 180.1 , 2.00 , 2.42 , 10.43 , 1.75 , 5.97 , 0.45 , 29.5 , 4.9 , 24.6 , 1.35 , .287 , 79.6 , .207 , .250 , .272 , .523 , 0.95 , 0.98 , 2904 , 6.0 , 96.8 , 16.1 , 4.10 , 91.1 
,김재윤,23K, 2.42 , 59 , 65.2 , 2.60 , 2.42 , 8.22 , 1.78 , 4.62 , 0.27 , 22.9 , 5.0 , 17.9 , 1.11 , .292 , 72.1 , .227 , .268 , .290 , .558 , 1.02 , 1.04 , 1005 , 1.1 , 17.0 , 15.3 , 3.84 , 24.8 
6,안우진,23키, 2.45 , 24 , 150.2 , 2.39 , 2.45 , 9.80 , 2.27 , 4.32 , 0.30 , 27.0 , 6.3 , 20.7 , 1.34 , .294 , 75.8 , .217 , .265 , .292 , .558 , 1.06 , 1.06 , 2342 , 6.3 , 97.6 , 15.5 , 3.85 , 60.7 
7,김원중,23롯, 2.55 , 63 , 63.2 , 2.97 , 2.55 , 11.59 , 3.53 , 3.28 , 0.28 , 30.9 , 9.4 , 21.5 , 1.68 , .327 , 72.9 , .220 , .307 , .293 , .600 , 1.19 , 1.27 , 1084 , 1.0 , 17.2 , 17.0 , 4.09 , 24.0 
8,박영현,23K, 2.70 , 68 , 75.1 , 2.75 , 2.70 , 9.44 , 2.75 , 3.44 , 0.36 , 25.6 , 7.5 , 18.2 , 1.35 , .309 , 75.2 , .230 , .292 , .318 , .610 , 1.14 , 1.17 , 1220 , 1.1 , 17.9 , 16.2 , 3.96 , 25.6 
9,윌커슨,23롯, 2.73 , 13 , 79.2 , 2.26 , 2.73 , 9.15 , 2.26 , 4.05 , 0.34 , 24.8 , 6.1 , 18.7 , 1.27 , .296 , 71.9 , .223 , .276 , .317 , .593 , 1.09 , 1.12 , 1296 , 6.1 , 99.7 , 16.3 , 3.96 , 34.9 
10,김진호,23N, 2.77 , 19 , 16.1 , 2.76 , 2.77 , 12.12 , 5.51 , 2.20 , 0.00 , 30.1 , 13.7 , 16.4 , 1.96 , .375 , 80.8 , .242 , .356 , .274 , .630 , 1.53 , 1.59 , 314 , 0.9 , 16.5 , 19.2 , 4.30 , 7.4 
11,함덕주,23L, 2.80 , 57 , 55.2 , 1.62 , 2.80 , 9.54 , 3.56 , 2.68 , 0.16 , 26.6 , 9.9 , 16.7 , 1.46 , .231 , 80.6 , .165 , .257 , .237 , .494 , 0.97 , 1.01 , 910 , 1.0 , 16.0 , 16.4 , 4.10 , 27.7 
12,쿠에바스,23K, 2.80 , 18 , 114.1 , 2.60 , 2.80 , 7.87 , 1.89 , 4.17 , 0.32 , 21.7 , 5.2 , 16.5 , 1.09 , .280 , 76.3 , .224 , .266 , .285 , .551 , 1.04 , 1.06 , 1666 , 6.4 , 92.6 , 14.6 , 3.62 , 46.2 
13,뷰캐넌,23삼, 3.01 , 30 , 188.0 , 2.54 , 3.01 , 6.65 , 2.06 , 3.23 , 0.19 , 17.7 , 5.5 , 12.2 , 0.97 , .291 , 69.9 , .241 , .287 , .300 , .587 , 1.15 , 1.19 , 2984 , 6.3 , 99.5 , 15.9 , 3.81 , 66.9 
14,고우석,23L, 3.06 , 44 , 44.0 , 3.68 , 3.06 , 12.07 , 4.50 , 2.68 , 0.41 , 31.1 , 11.6 , 19.5 , 1.84 , .356 , 73.5 , .235 , .340 , .309 , .649 , 1.36 , 1.46 , 799 , 1.0 , 18.2 , 18.2 , 4.21 , 12.9 
