순,이름,팀/포지션,정렬용,출장,이닝,땅볼,뜬공,GO/FO,InP%,타구내야%,타구외야%,BABIP,내야타율,외야타율,내야뜬공N,내야뜬공%,내야안타N,내야안타%,실책출루,포스O출루,번트안타,번트아웃,번트타율,번트시도,번트%
1,장지수,23한, 4.00 , 1 , 2.0 , 4 , 1 , 4.00 , 81.8 , 55.6 , 44.4 , .444 , .200 , .750 , 0 , 0.0 , 1 , 25.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
2,윤정현,23키, 3.33 , 5 , 6.0 , 10 , 3 , 3.33 , 69.2 , 55.6 , 44.4 , .278 , .000 , .625 , 0 , 0.0 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
3,정우영,23L, 2.89 , 60 , 51.2 , 81 , 28 , 2.89 , 69.8 , 56.7 , 43.3 , .365 , .103 , .716 , 7 , 25.0 , 10 , 15.9 , 5 , 9 , 0 , 1 , .000 , 8 , 0.0 
4,김서현,23한, 2.89 , 20 , 22.1 , 26 , 9 , 2.89 , 50.0 , 57.9 , 42.1 , .375 , .121 , .750 , 3 , 33.3 , 4 , 18.2 , 1 , 5 , 0 , 0 ,  , 1 , 0.0 
5,김진호,23N, 2.57 , 19 , 16.1 , 18 , 7 , 2.57 , 54.8 , 57.5 , 42.5 , .375 , .044 , .824 , 4 , 57.1 , 1 , 6.7 , 0 , 0 , 0 , 0 ,  , 3 , 0.0 
6,김동혁,23키, 2.52 , 35 , 39.1 , 63 , 25 , 2.52 , 72.9 , 52.5 , 47.5 , .360 , .041 , .727 , 7 , 28.0 , 3 , 5.9 , 3 , 7 , 0 , 1 , .000 , 8 , 0.0 
7,김시현,23삼, 2.50 , 2 , 3.0 , 5 , 2 , 2.50 , 76.5 , 46.2 , 53.9 , .364 , .000 , .857 , 1 , 50.0 , 0 , 0.0 , 1 , 1 , 0 , 0 ,  , 0 ,  
8,이재익,23삼, 2.14 , 51 , 41.0 , 60 , 28 , 2.14 , 74.6 , 53.0 , 47.0 , .326 , .070 , .651 , 6 , 21.4 , 5 , 10.9 , 3 , 4 , 1 , 2 , .333 , 6 , 16.7 
9,이인복,23롯, 2.13 , 10 , 33.1 , 51 , 24 , 2.13 , 79.2 , 52.0 , 48.0 , .392 , .136 , .738 , 8 , 33.3 , 9 , 16.7 , 6 , 10 , 2 , 0 , 1.000 , 6 , 33.3 
10,문용익,23삼, 2.00 , 14 , 13.0 , 16 , 8 , 2.00 , 54.2 , 59.4 , 40.6 , .250 , .053 , .539 , 2 , 25.0 , 1 , 12.5 , 0 , 2 , 0 , 1 , .000 , 2 , 0.0 
,전용주,23K, 2.00 , 15 , 10.1 , 14 , 7 , 2.00 , 62.8 , 63.0 , 37.0 , .222 , .000 , .600 , 3 , 42.9 , 0 , 0.0 , 0 , 0 , 0 , 0 ,  , 0 ,  
,송은범,23L, 2.00 , 4 , 3.2 , 4 , 2 , 2.00 , 70.6 , 33.3 , 66.7 , .500 , .000 , .750 , 0 , 0.0 , 0 , 0.0 , 0 , 1 , 0 , 0 ,  , 0 ,  
13,김민,23K, 1.91 , 16 , 29.0 , 40 , 21 , 1.91 , 70.3 , 46.5 , 53.5 , .374 , .021 , .722 , 7 , 33.3 , 1 , 2.5 , 3 , 7 , 0 , 0 ,  , 0 ,  
14,고봉재,23두, 1.88 , 10 , 11.1 , 15 , 8 , 1.88 , 69.8 , 48.6 , 51.4 , .324 , .000 , .667 , 2 , 25.0 , 0 , 0.0 , 1 , 3 , 0 , 0 ,  , 0 ,  
15,김태현,23N, 1.81 , 16 , 20.1 , 29 , 16 , 1.81 , 68.9 , 58.1 , 41.9 , .224 , .056 , .577 , 5 , 31.3 , 2 , 11.8 , 2 , 2 , 0 , 1 , .000 , 1 , 0.0 
16,심재민,23K롯, 1.79 , 33 , 47.2 , 68 , 38 , 1.79 , 76.2 , 52.2 , 47.9 , .335 , .094 , .628 , 9 , 23.7 , 8 , 14.0 , 4 , 8 , 0 , 4 , .000 , 7 , 0.0 
17,임준섭,23S, 1.77 , 41 , 32.2 , 39 , 22 , 1.77 , 68.4 , 41.0 , 59.1 , .410 , .000 , .710 , 4 , 18.2 , 0 , 0.0 , 1 , 4 , 0 , 0 ,  , 2 , 0.0 
18,페디,23N, 1.74 , 30 , 180.1 , 200 , 115 , 1.74 , 64.3 , 58.9 , 41.2 , .287 , .094 , .602 , 41 , 35.7 , 25 , 18.3 , 13 , 23 , 1 , 3 , .250 , 19 , 5.3 
19,이상민,23삼, 1.73 , 23 , 18.0 , 19 , 11 , 1.73 , 75.9 , 38.7 , 61.3 , .492 , .167 , .737 , 1 , 9.1 , 4 , 12.5 , 0 , 1 , 2 , 1 , .667 , 7 , 28.6 
20,이형범,23두, 1.70 , 23 , 27.2 , 39 , 23 , 1.70 , 77.6 , 51.0 , 49.0 , .373 , .077 , .720 , 9 , 39.1 , 4 , 10.0 , 2 , 3 , 0 , 0 ,  , 1 , 0.0 
21,박준표,23K, 1.68 , 33 , 28.0 , 42 , 25 , 1.68 , 80.5 , 55.8 , 44.2 , .272 , .057 , .595 , 8 , 32.0 , 3 , 10.7 , 2 , 5 , 0 , 0 ,  , 1 , 0.0 
22,김원중,23롯, 1.68 , 63 , 63.2 , 62 , 37 , 1.68 , 57.4 , 50.0 , 50.0 , .327 , .053 , .627 , 9 , 24.3 , 4 , 7.8 , 1 , 5 , 0 , 1 , .000 , 2 , 0.0 
23,박종훈,23S, 1.67 , 18 , 80.0 , 102 , 61 , 1.67 , 63.9 , 56.7 , 43.3 , .292 , .074 , .644 , 24 , 39.3 , 10 , 13.0 , 4 , 8 , 0 , 1 , .000 , 15 , 0.0 
24,이상규,23L, 1.67 , 8 , 7.2 , 10 , 6 , 1.67 , 67.7 , 60.9 , 39.1 , .304 , .143 , .556 , 2 , 33.3 , 2 , 28.6 , 1 , 1 , 0 , 1 , .000 , 1 , 0.0 
,김태오,23K, 1.67 , 5 , 7.1 , 10 , 6 , 1.67 , 80.0 , 46.2 , 53.9 , .357 , .000 , .714 , 2 , 33.3 , 0 , 0.0 , 1 , 0 , 0 , 0 ,  , 0 ,  
26,메디나,23K, 1.63 , 12 , 58.0 , 78 , 48 , 1.63 , 71.4 , 50.0 , 50.0 , .312 , .042 , .632 , 13 , 27.1 , 4 , 6.3 , 2 , 5 , 1 , 2 , .333 , 5 , 20.0 
27,뷰캐넌,23삼, 1.62 , 30 , 188.0 , 253 , 156 , 1.62 , 75.0 , 55.2 , 44.9 , .291 , .053 , .602 , 52 , 33.3 , 17 , 9.8 , 13 , 28 , 3 , 5 , .375 , 24 , 12.5 
28,류진욱,23N, 1.60 , 70 , 67.0 , 77 , 48 , 1.60 , 63.1 , 61.5 , 38.6 , .238 , .069 , .531 , 18 , 37.5 , 7 , 17.1 , 5 , 8 , 1 , 1 , .500 , 4 , 25.0 
29,윤명준,23롯, 1.60 , 21 , 19.1 , 24 , 15 , 1.60 , 72.5 , 44.3 , 55.7 , .403 , .097 , .718 , 4 , 26.7 , 3 , 9.7 , 0 , 1 , 0 , 1 , .000 , 2 , 0.0 
