순,이름,팀/포지션,정렬용,출장,이닝,타구방향%좌,타구방향%중,타구방향%우,타구방향%밀,타구방향%당,타구방향N좌,타구방향N중,타구방향N우,타구방향N밀,타구방향N당,안타방향N좌,안타방향N중,안타방향N우,안타방향밀,안타방향N당,방향별타율좌,방향별타율중,방향별타율우,방향별타율밀,방향별타율당,BABIP
1,이민석,23롯, .000 , 1 , 1.1 , 33.3 , 33.3 , 33.3 , 33.3 , 33.3 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , .000 , .000 , .000 , .000 , .000 , .000 
,서동민,23S, .000 , 2 , 1.0 , 50.0 , 50.0 , 0.0 , 50.0 , 0.0 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , .000 , .000 ,  , .000 ,  , .000 
,박영완,23롯, .000 , 1 , 1.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  , .000 , .000 ,  , .000 
,하준수,23N, .000 , 1 , 1.0 , 50.0 , 50.0 , 0.0 , 0.0 , 50.0 , 1 , 1 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , .000 , .000 ,  ,  , .000 , .000 
,김태욱,23롯, .000 , 1 , 1.0 , 33.3 , 0.0 , 66.7 , 33.3 , 66.7 , 1 , 0 , 2 , 1 , 2 , 0 , 0 , 0 , 0 , 0 , .000 ,  , .000 , .000 , .000 , .000 
,유승철,23K, .000 , 1 , 1.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0 , 0 , 3 , 3 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  , .000 , .000 ,  , .000 
,이우석,23N, .000 , 1 , 0.2 , 0.0 , 0.0 , 100.0 , 0.0 , 100.0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , 0 , 0 ,  ,  , .000 ,  , .000 , .000 
,박세웅,23삼, .000 , 2 , 0.2 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0 , 0 , 2 , 2 , 0 , 0 , 0 , 1 , 1 , 0 ,  ,  , .500 , .500 ,  , .000 
9,김강현,23롯, .111 , 2 , 3.0 , 22.2 , 22.2 , 55.6 , 33.3 , 44.4 , 2 , 2 , 5 , 3 , 4 , 1 , 0 , 0 , 0 , 1 , .500 , .000 , .000 , .000 , .250 , .111 
10,이재희,23삼, .136 , 2 , 8.0 , 65.2 , 13.0 , 21.7 , 65.2 , 21.7 , 15 , 3 , 5 , 15 , 5 , 4 , 0 , 0 , 4 , 0 , .267 , .000 , .000 , .267 , .000 , .136 
11,이진하,23롯, .160 , 9 , 8.0 , 37.5 , 25.0 , 37.5 , 41.7 , 33.3 , 9 , 6 , 9 , 10 , 8 , 2 , 1 , 1 , 1 , 2 , .222 , .167 , .111 , .100 , .250 , .160 
12,이민우,23한, .162 , 17 , 13.2 , 43.2 , 18.9 , 37.8 , 46.0 , 35.1 , 16 , 7 , 14 , 17 , 13 , 3 , 3 , 2 , 3 , 2 , .188 , .429 , .143 , .177 , .154 , .162 
13,홍원표,23삼, .167 , 3 , 3.2 , 58.3 , 8.3 , 33.3 , 33.3 , 58.3 , 7 , 1 , 4 , 4 , 7 , 1 , 0 , 1 , 1 , 1 , .143 , .000 , .250 , .250 , .143 , .167 
,류원석,23한, .167 , 1 , 2.0 , 0.0 , 0.0 , 100.0 , 100.0 , 0.0 , 0 , 0 , 6 , 6 , 0 , 0 , 0 , 1 , 1 , 0 ,  ,  , .167 , .167 ,  , .167 
15,김준형,23키, .191 , 8 , 7.2 , 42.9 , 28.6 , 28.6 , 23.8 , 47.6 , 9 , 6 , 6 , 5 , 10 , 2 , 1 , 1 , 2 , 1 , .222 , .167 , .167 , .400 , .100 , .191 
16,서상준,23S, .200 , 2 , 2.0 , 40.0 , 0.0 , 60.0 , 80.0 , 20.0 , 2 , 0 , 3 , 4 , 1 , 0 , 0 , 1 , 0 , 1 , .000 ,  , .333 , .000 , 1.000 , .200 
17,김진성,23L, .205 , 80 , 70.1 , 38.6 , 22.3 , 39.2 , 38.6 , 39.2 , 64 , 37 , 65 , 64 , 65 , 14 , 9 , 18 , 18 , 14 , .219 , .243 , .277 , .281 , .215 , .205 
18,주현상,23한, .209 , 55 , 59.2 , 30.8 , 27.0 , 42.1 , 36.5 , 36.5 , 49 , 43 , 67 , 58 , 58 , 9 , 13 , 13 , 10 , 12 , .184 , .302 , .194 , .172 , .207 , .209 
19,이호성,23삼, .213 , 5 , 17.0 , 23.4 , 31.9 , 44.7 , 27.7 , 40.4 , 11 , 15 , 21 , 13 , 19 , 2 , 5 , 4 , 3 , 3 , .182 , .333 , .191 , .231 , .158 , .213 
20,임기영,23K, .216 , 64 , 82.0 , 40.8 , 23.2 , 36.1 , 38.6 , 38.2 , 95 , 54 , 84 , 90 , 89 , 17 , 16 , 23 , 23 , 17 , .179 , .296 , .274 , .256 , .191 , .216 
21,전용주,23K, .222 , 15 , 10.1 , 25.9 , 22.2 , 51.9 , 48.2 , 29.6 , 7 , 6 , 14 , 13 , 8 , 3 , 2 , 1 , 2 , 2 , .429 , .333 , .071 , .154 , .250 , .222 
,이승호,23키, .222 , 4 , 5.0 , 42.1 , 15.8 , 42.1 , 47.4 , 36.8 , 8 , 3 , 8 , 9 , 7 , 3 , 0 , 2 , 3 , 2 , .375 , .000 , .250 , .333 , .286 , .222 
,김호준,23두, .222 , 3 , 3.0 , 44.4 , 33.3 , 22.2 , 44.4 , 22.2 , 4 , 3 , 2 , 4 , 2 , 1 , 2 , 0 , 1 , 0 , .250 , .667 , .000 , .250 , .000 , .222 
,김유성,23두, .222 , 7 , 6.1 , 38.9 , 11.1 , 50.0 , 33.3 , 55.6 , 7 , 2 , 9 , 6 , 10 , 4 , 1 , 1 , 0 , 5 , .571 , .500 , .111 , .000 , .500 , .222 
,딜런,23두, .222 , 2 , 9.0 , 36.8 , 23.7 , 39.5 , 39.5 , 36.8 , 14 , 9 , 15 , 15 , 14 , 3 , 4 , 3 , 3 , 3 , .214 , .444 , .200 , .200 , .214 , .222 
26,김태현,23N, .224 , 16 , 20.1 , 48.4 , 16.1 , 35.5 , 40.3 , 43.6 , 30 , 10 , 22 , 25 , 27 , 8 , 2 , 7 , 6 , 9 , .267 , .200 , .318 , .240 , .333 , .224 
27,윤대경,23한, .227 , 47 , 47.2 , 39.6 , 25.7 , 34.7 , 37.5 , 36.8 , 57 , 37 , 50 , 54 , 53 , 10 , 10 , 16 , 13 , 13 , .175 , .270 , .320 , .241 , .245 , .227 
28,백승우,23두, .231 , 6 , 4.0 , 46.2 , 23.1 , 30.8 , 30.8 , 46.2 , 6 , 3 , 4 , 4 , 6 , 1 , 2 , 0 , 0 , 1 , .167 , .667 , .000 , .000 , .167 , .231 
29,함덕주,23L, .231 , 57 , 55.2 , 37.8 , 17.8 , 44.4 , 39.3 , 43.0 , 51 , 24 , 60 , 53 , 58 , 9 , 6 , 17 , 11 , 15 , .177 , .250 , .283 , .208 , .259 , .231 
30,백승현,23L, .236 , 42 , 40.0 , 46.4 , 20.5 , 33.0 , 44.6 , 34.8 , 52 , 23 , 37 , 50 , 39 , 9 , 10 , 9 , 8 , 10 , .173 , .435 , .243 , .160 , .256 , .236 
31,류진욱,23N, .238 , 70 , 67.0 , 39.2 , 21.1 , 39.8 , 40.4 , 38.6 , 65 , 35 , 66 , 67 , 64 , 18 , 11 , 12 , 21 , 9 , .277 , .314 , .182 , .313 , .141 , .238 
32,김민규,23두, .240 , 6 , 8.1 , 58.3 , 20.8 , 20.8 , 45.8 , 33.3 , 14 , 5 , 5 , 11 , 8 , 4 , 1 , 1 , 3 , 2 , .286 , .200 , .200 , .273 , .250 , .240 
33,이채호,23K, .241 , 25 , 24.2 , 35.6 , 23.0 , 41.4 , 35.6 , 41.4 , 31 , 20 , 36 , 31 , 36 , 7 , 5 , 14 , 9 , 12 , .226 , .250 , .389 , .290 , .333 , .241 
34,최지강,23두, .242 , 25 , 22.0 , 42.2 , 25.0 , 32.8 , 48.4 , 26.6 , 27 , 16 , 21 , 31 , 17 , 6 , 5 , 5 , 7 , 4 , .222 , .313 , .238 , .226 , .235 , .242 
35,이재학,23N, .244 , 15 , 67.1 , 37.3 , 24.5 , 38.2 , 39.7 , 35.8 , 76 , 50 , 78 , 81 , 73 , 20 , 14 , 21 , 20 , 21 , .263 , .280 , .269 , .247 , .288 , .244 
36,최지민,23K, .250 , 58 , 59.1 , 42.1 , 23.8 , 34.2 , 36.6 , 39.6 , 69 , 39 , 56 , 60 , 65 , 17 , 13 , 15 , 16 , 16 , .246 , .333 , .268 , .267 , .246 , .250 
,강건,23K, .250 , 4 , 6.2 , 43.8 , 25.0 , 31.3 , 37.5 , 37.5 , 7 , 4 , 5 , 6 , 6 , 3 , 1 , 0 , 1 , 2 , .429 , .250 , .000 , .167 , .333 , .250 
,문용익,23삼, .250 , 14 , 13.0 , 40.6 , 25.0 , 34.4 , 43.8 , 31.3 , 13 , 8 , 11 , 14 , 10 , 2 , 4 , 2 , 3 , 1 , .154 , .500 , .182 , .214 , .100 , .250 
,김정운,23K, .250 , 5 , 7.0 , 29.2 , 25.0 , 45.8 , 29.2 , 45.8 , 7 , 6 , 11 , 7 , 11 , 0 , 3 , 3 , 0 , 3 , .000 , .500 , .273 , .000 , .273 , .250 
,송승기,23L, .250 , 1 , 1.0 , 25.0 , 25.0 , 50.0 , 50.0 , 25.0 , 1 , 1 , 2 , 2 , 1 , 0 , 0 , 1 , 1 , 0 , .000 , .000 , .500 , .500 , .000 , .250 
,이기순,23S, .250 , 2 , 3.0 , 87.5 , 12.5 , 0.0 , 87.5 , 0.0 , 7 , 1 , 0 , 7 , 0 , 3 , 0 , 0 , 3 , 0 , .429 , .000 ,  , .429 ,  , .250 
,박윤철,23한, .250 , 3 , 3.1 , 35.7 , 21.4 , 42.9 , 42.9 , 35.7 , 5 , 3 , 6 , 6 , 5 , 1 , 2 , 2 , 2 , 1 , .200 , .667 , .333 , .333 , .200 , .250 
,박준영,23한, .250 , 4 , 4.1 , 28.6 , 42.9 , 28.6 , 28.6 , 28.6 , 2 , 3 , 2 , 2 , 2 , 0 , 2 , 0 , 0 , 0 , .000 , .667 , .000 , .000 , .000 , .250 
44,김영규,23N, .252 , 63 , 61.2 , 36.6 , 26.7 , 36.6 , 37.2 , 36.1 , 63 , 46 , 63 , 64 , 62 , 15 , 15 , 15 , 14 , 16 , .238 , .326 , .238 , .219 , .258 , .252 
45,오승환,23삼, .254 , 58 , 62.2 , 34.2 , 28.1 , 37.8 , 36.7 , 35.2 , 67 , 55 , 74 , 72 , 69 , 18 , 18 , 21 , 22 , 17 , .269 , .327 , .284 , .306 , .246 , .254 
46,이지강,23L, .257 , 22 , 68.0 , 39.1 , 29.1 , 31.8 , 36.4 , 34.6 , 86 , 64 , 70 , 80 , 76 , 22 , 22 , 16 , 23 , 15 , .256 , .344 , .229 , .288 , .197 , .257 
47,한재승,23N, .259 , 11 , 9.2 , 41.4 , 20.7 , 37.9 , 44.8 , 34.5 , 12 , 6 , 11 , 13 , 10 , 1 , 4 , 4 , 2 , 3 , .083 , .667 , .364 , .154 , .300 , .259 
48,곽빈,23두, .260 , 23 , 127.1 , 41.3 , 20.5 , 38.2 , 38.2 , 41.3 , 143 , 71 , 132 , 132 , 143 , 39 , 22 , 35 , 39 , 35 , .273 , .310 , .265 , .296 , .245 , .260 
49,최지광,23삼, .260 , 22 , 17.1 , 28.3 , 34.0 , 37.7 , 32.1 , 34.0 , 15 , 18 , 20 , 17 , 18 , 5 , 6 , 6 , 4 , 7 , .333 , .333 , .300 , .235 , .389 , .260 
50,유영찬,23L, .262 , 67 , 68.0 , 36.9 , 22.1 , 41.0 , 32.3 , 45.6 , 72 , 43 , 80 , 63 , 89 , 18 , 16 , 21 , 13 , 26 , .250 , .372 , .263 , .206 , .292 , .262 
51,강재민,23한, .263 , 43 , 43.1 , 39.5 , 24.6 , 36.0 , 32.5 , 43.0 , 45 , 28 , 41 , 37 , 49 , 15 , 8 , 12 , 12 , 15 , .333 , .286 , .293 , .324 , .306 , .263 
52,구창모,23N, .264 , 11 , 51.2 , 45.8 , 14.5 , 39.7 , 45.8 , 39.7 , 60 , 19 , 52 , 60 , 52 , 16 , 8 , 14 , 9 , 21 , .267 , .421 , .269 , .150 , .404 , .264 
53,페냐,23한, .268 , 32 , 177.1 , 45.2 , 19.0 , 35.7 , 42.9 , 38.1 , 233 , 98 , 184 , 221 , 196 , 62 , 39 , 48 , 53 , 57 , .266 , .398 , .261 , .240 , .291 , .268 
54,태너,23N, .269 , 11 , 64.2 , 38.7 , 23.6 , 37.7 , 40.7 , 35.7 , 77 , 47 , 75 , 81 , 71 , 23 , 18 , 17 , 23 , 17 , .299 , .383 , .227 , .284 , .239 , .269 
55,김승현,23K, .270 , 10 , 12.2 , 47.4 , 21.1 , 31.6 , 42.1 , 36.8 , 18 , 8 , 12 , 16 , 14 , 7 , 1 , 3 , 6 , 4 , .389 , .125 , .250 , .375 , .286 , .270 
56,박준표,23K, .272 , 33 , 28.0 , 35.8 , 26.3 , 37.9 , 46.3 , 27.4 , 34 , 25 , 36 , 44 , 26 , 6 , 16 , 6 , 9 , 3 , .177 , .640 , .167 , .205 , .115 , .272 
57,정철원,23두, .272 , 67 , 72.2 , 46.8 , 18.8 , 34.4 , 38.1 , 43.1 , 102 , 41 , 75 , 83 , 94 , 29 , 13 , 24 , 23 , 30 , .284 , .317 , .320 , .277 , .319 , .272 
58,김강률,23두, .273 , 32 , 25.2 , 43.6 , 25.6 , 30.8 , 48.7 , 25.6 , 34 , 20 , 24 , 38 , 20 , 9 , 10 , 4 , 10 , 3 , .265 , .500 , .167 , .263 , .150 , .273 
,박권후,23삼, .273 , 4 , 2.2 , 58.3 , 25.0 , 16.7 , 58.3 , 16.7 , 7 , 3 , 2 , 7 , 2 , 2 , 1 , 1 , 2 , 1 , .286 , .333 , .500 , .286 , .500 , .273 
60,이용준,23N, .274 , 24 , 67.0 , 44.8 , 22.9 , 32.3 , 45.8 , 31.3 , 90 , 46 , 65 , 92 , 63 , 22 , 19 , 19 , 23 , 18 , .244 , .413 , .292 , .250 , .286 , .274 
61,문성현,23키, .274 , 32 , 28.1 , 40.7 , 19.8 , 39.5 , 47.7 , 32.6 , 35 , 17 , 34 , 41 , 28 , 6 , 9 , 10 , 7 , 9 , .171 , .529 , .294 , .171 , .321 , .274 
62,이준영,23K, .277 , 64 , 33.2 , 43.0 , 19.4 , 37.6 , 37.6 , 43.0 , 40 , 18 , 35 , 35 , 40 , 9 , 7 , 10 , 9 , 10 , .225 , .389 , .286 , .257 , .250 , .277 
63,홍정우,23삼, .277 , 36 , 36.0 , 41.0 , 20.5 , 38.5 , 46.2 , 33.3 , 48 , 24 , 45 , 54 , 39 , 15 , 9 , 12 , 17 , 10 , .313 , .375 , .267 , .315 , .256 , .277 
64,조영건,23키, .278 , 6 , 7.2 , 27.8 , 22.2 , 50.0 , 27.8 , 50.0 , 5 , 4 , 9 , 5 , 9 , 2 , 3 , 0 , 0 , 2 , .400 , .750 , .000 , .000 , .222 , .278 
,윤정현,23키, .278 , 5 , 6.0 , 50.0 , 27.8 , 22.2 , 50.0 , 22.2 , 9 , 5 , 4 , 9 , 4 , 0 , 3 , 2 , 0 , 2 , .000 , .600 , .500 , .000 , .500 , .278 
66,브랜든,23두, .278 , 18 , 104.2 , 45.1 , 21.5 , 33.5 , 43.6 , 34.9 , 124 , 59 , 92 , 120 , 96 , 31 , 25 , 24 , 31 , 24 , .250 , .424 , .261 , .258 , .250 , .278 
67,이용찬,23N, .279 , 60 , 61.0 , 43.2 , 21.6 , 35.2 , 40.9 , 37.5 , 76 , 38 , 62 , 72 , 66 , 27 , 16 , 10 , 17 , 20 , .355 , .421 , .161 , .236 , .303 , .279 
68,쿠에바스,23K, .280 , 18 , 114.1 , 30.9 , 28.7 , 40.4 , 34.0 , 37.4 , 100 , 93 , 131 , 110 , 121 , 28 , 40 , 27 , 25 , 30 , .280 , .430 , .206 , .227 , .248 , .280 
,손동현,23K, .280 , 64 , 73.2 , 39.8 , 25.7 , 34.5 , 39.4 , 35.0 , 90 , 58 , 78 , 89 , 79 , 26 , 19 , 23 , 27 , 22 , .289 , .328 , .295 , .303 , .279 , .280 
