순,이름,팀/포지션,정렬용,출장,이닝,타자,투구,P/PA,S루킹,S헛스윙,S파울,S타격,투구비율S%,투구비율B%,배트적극성전체%,배트적극성초구%,헛스윙%,SwStr%,2S후커트%,2S후선구%,스윙삼진,루킹삼진,LSO%,배팅찬스N,배팅찬스스윙,배팅찬스W%
1,이우석,23N, 2.50 , 1 , 0.2 , 2 , 5 , 2.50 , 0.0 , 0.0 , 0.0 , 100.0 , 20.0 , 80.0 , 20.0 , 50.0 , 0.0 , 0.0 ,  ,  , 0 , 0 ,  , 1 , 0 , 0.0 
2,김주온,23S, 2.80 , 1 , 0.1 , 5 , 14 , 2.80 , 25.0 , 12.5 , 37.5 , 25.0 , 57.1 , 42.9 , 42.9 , 20.0 , 16.7 , 8.3 , 50.0 , 0.0 , 1 , 0 , 0.0 , 3 , 0 , 0.0 
3,문경찬,23롯, 3.00 , 2 , 2.0 , 12 , 36 , 3.00 , 37.0 , 11.1 , 14.8 , 37.0 , 75.0 , 25.0 , 47.2 , 25.0 , 17.7 , 11.5 , 71.4 , 12.5 , 2 , 0 , 0.0 , 0 , 0 ,  
4,송은범,23L, 3.18 , 4 , 3.2 , 17 , 54 , 3.18 , 24.1 , 17.2 , 17.2 , 41.4 , 53.7 , 46.3 , 40.7 , 11.8 , 22.7 , 11.9 , 50.0 , 20.0 , 2 , 0 , 0.0 , 37 , 1 , 2.7 
5,김창훈,23롯, 3.29 , 3 , 4.1 , 17 , 56 , 3.29 , 36.1 , 8.3 , 13.9 , 41.7 , 64.3 , 35.7 , 41.1 , 35.3 , 13.0 , 7.3 , 88.9 , 40.0 , 0 , 1 , 100.0 , 35 , 2 , 5.7 
6,성동현,23L, 3.33 , 1 , 1.0 , 6 , 20 , 3.33 , 25.0 , 25.0 , 16.7 , 33.3 , 60.0 , 40.0 , 45.0 , 50.0 , 33.3 , 18.8 , 66.7 , 0.0 , 1 , 0 , 0.0 , 12 , 0 , 0.0 
7,류희운,23한, 3.40 , 3 , 4.0 , 20 , 68 , 3.40 , 39.5 , 9.3 , 18.6 , 32.6 , 63.2 , 36.8 , 38.2 , 30.0 , 15.4 , 7.4 , 55.6 , 47.1 , 2 , 2 , 50.0 , 24 , 2 , 8.3 
,이영준,23키, 3.40 , 2 , 1.2 , 10 , 34 , 3.40 , 19.1 , 4.8 , 33.3 , 42.9 , 61.8 , 38.2 , 50.0 , 40.0 , 5.9 , 4.0 , 100.0 , 44.4 , 0 , 0 ,  , 0 , 0 ,  
9,조이현,23K, 3.44 , 18 , 35.0 , 170 , 585 , 3.44 , 22.5 , 10.9 , 30.1 , 36.6 , 67.7 , 32.3 , 52.5 , 34.7 , 14.0 , 9.8 , 85.8 , 26.8 , 13 , 4 , 23.5 , 125 , 13 , 10.4 
10,고영표,23K, 3.48 , 28 , 174.2 , 706 , 2453 , 3.48 , 27.1 , 15.1 , 26.0 , 31.8 , 72.4 , 27.6 , 52.8 , 34.6 , 20.7 , 14.2 , 79.0 , 26.4 , 94 , 20 , 17.5 , 435 , 34 , 7.8 
11,주권,23K, 3.48 , 42 , 47.0 , 205 , 714 , 3.48 , 22.7 , 15.2 , 25.2 , 36.9 , 63.5 , 36.6 , 49.0 , 37.1 , 19.7 , 12.6 , 85.3 , 41.1 , 15 , 2 , 11.8 , 148 , 13 , 8.8 
12,이선우,23K, 3.49 , 22 , 37.1 , 169 , 589 , 3.49 , 32.2 , 8.3 , 25.2 , 34.3 , 65.4 , 34.6 , 44.3 , 24.9 , 12.3 , 7.0 , 76.7 , 34.0 , 15 , 9 , 37.5 , 130 , 13 , 10.0 
13,전사민,23N, 3.49 , 9 , 17.0 , 81 , 283 , 3.49 , 36.8 , 6.1 , 20.9 , 36.2 , 57.6 , 42.4 , 36.4 , 32.1 , 9.7 , 4.5 , 82.9 , 50.7 , 1 , 5 , 83.3 , 86 , 8 , 9.3 
14,박준표,23K, 3.50 , 33 , 28.0 , 118 , 413 , 3.50 , 28.8 , 7.2 , 27.7 , 36.4 , 63.9 , 36.1 , 45.5 , 24.6 , 10.1 , 6.0 , 80.3 , 26.7 , 7 , 6 , 46.2 , 142 , 15 , 10.6 
,정성종,23롯, 3.50 , 12 , 22.0 , 98 , 343 , 3.50 , 22.8 , 12.4 , 27.5 , 37.3 , 56.3 , 43.7 , 43.4 , 30.6 , 16.1 , 8.9 , 79.1 , 42.7 , 8 , 2 , 20.0 , 91 , 7 , 7.7 
,김민수,23K, 3.50 , 14 , 13.0 , 58 , 203 , 3.50 , 30.3 , 6.8 , 25.8 , 37.1 , 65.0 , 35.0 , 45.3 , 31.0 , 9.8 , 5.8 , 89.5 , 32.1 , 3 , 1 , 25.0 , 53 , 5 , 9.4 
17,채지선,23LN, 3.53 , 3 , 3.1 , 17 , 60 , 3.53 , 29.0 , 12.9 , 22.6 , 35.5 , 51.7 , 48.3 , 36.7 , 17.7 , 18.2 , 8.2 , 71.4 , 22.2 , 2 , 0 , 0.0 , 27 , 1 , 3.7 
18,이충호,23한, 3.54 , 11 , 8.2 , 41 , 145 , 3.54 , 28.7 , 16.1 , 23.0 , 32.2 , 60.0 , 40.0 , 42.8 , 14.6 , 22.6 , 12.0 , 61.1 , 41.9 , 6 , 1 , 14.3 , 41 , 3 , 7.3 
19,하준호,23K, 3.54 , 12 , 13.0 , 65 , 230 , 3.54 , 29.3 , 11.4 , 23.6 , 35.8 , 53.5 , 46.5 , 37.8 , 16.9 , 16.1 , 7.5 , 77.8 , 44.9 , 6 , 0 , 0.0 , 96 , 10 , 10.4 
20,윤중현,23K, 3.54 , 31 , 28.0 , 115 , 407 , 3.54 , 27.6 , 10.2 , 23.2 , 39.0 , 60.4 , 39.6 , 43.7 , 30.4 , 14.0 , 8.0 , 85.5 , 40.2 , 5 , 3 , 37.5 , 184 , 15 , 8.2 
21,이채호,23K, 3.55 , 25 , 24.2 , 110 , 390 , 3.55 , 28.6 , 8.3 , 27.4 , 35.7 , 64.6 , 35.4 , 46.2 , 28.2 , 11.7 , 7.0 , 88.1 , 33.7 , 7 , 1 , 12.5 , 102 , 8 , 7.8 
22,이형범,23두, 3.55 , 23 , 27.2 , 134 , 476 , 3.55 , 23.2 , 10.8 , 31.4 , 34.6 , 64.3 , 35.7 , 49.4 , 29.9 , 14.0 , 8.9 , 84.0 , 36.7 , 9 , 4 , 30.8 , 150 , 15 , 10.0 
23,박민호,23S, 3.55 , 10 , 10.0 , 47 , 167 , 3.55 , 25.0 , 9.3 , 28.7 , 37.0 , 64.7 , 35.3 , 48.5 , 27.7 , 12.4 , 7.9 , 86.2 , 46.3 , 2 , 2 , 50.0 , 5 , 1 , 20.0 
24,박신지,23두, 3.56 , 15 , 26.0 , 129 , 459 , 3.56 , 28.0 , 14.0 , 21.0 , 36.9 , 59.0 , 41.0 , 42.5 , 28.7 , 19.5 , 10.6 , 73.7 , 42.4 , 12 , 3 , 20.0 , 159 , 14 , 8.8 
25,정해영,23K, 3.58 , 52 , 49.1 , 218 , 780 , 3.58 , 24.6 , 13.0 , 28.5 , 33.9 , 63.1 , 36.9 , 47.6 , 37.2 , 17.3 , 10.4 , 75.4 , 34.7 , 17 , 13 , 43.3 , 177 , 14 , 7.9 
26,변시원,23키, 3.58 , 4 , 2.1 , 19 , 68 , 3.58 , 23.5 , 17.7 , 26.5 , 32.4 , 50.0 , 50.0 , 38.2 , 31.6 , 23.1 , 10.5 , 66.7 , 50.0 , 2 , 0 , 0.0 , 25 , 3 , 12.0 
27,김민,23K, 3.59 , 16 , 29.0 , 145 , 520 , 3.59 , 29.5 , 12.4 , 25.4 , 32.7 , 60.6 , 39.4 , 42.7 , 30.3 , 17.6 , 9.4 , 74.7 , 35.3 , 18 , 4 , 18.2 , 197 , 14 , 7.1 
28,정찬헌,23키, 3.60 , 14 , 72.0 , 295 , 1061 , 3.60 , 33.8 , 7.7 , 23.5 , 35.0 , 66.1 , 33.9 , 43.7 , 20.0 , 11.6 , 6.6 , 81.3 , 30.2 , 25 , 10 , 28.6 , 388 , 18 , 4.6 
29,양현,23키, 3.60 , 54 , 57.0 , 262 , 943 , 3.60 , 27.1 , 7.5 , 28.0 , 37.4 , 63.7 , 36.3 , 46.5 , 26.0 , 10.3 , 6.3 , 89.7 , 29.7 , 11 , 5 , 31.3 , 282 , 31 , 11.0 
