순,이름,팀/포지션,정렬용,출장,이닝,평균구속_직구,평균구속_슬라,평균구속_커브,평균구속_첸졉,평균구속_스플,평균구속_싱커,평균구속_너클,평균구속_기타,직구구사율,슬라구사율,커브구사율,첸졉구사율,스플구사율,싱커구사율,너클구사율,기타구사율,Swing%IZ,Swing%OZ,Swing%All,Contact%IZ,Contact%OZ,Contact%All,Zone%
1,안우진,23키, 153.0 , 24 , 150.2 , 153.0 , 142.4 , 129.1 , 136.3 ,  ,  ,  ,  , 50.6 , 26.2 , 14.4 , 8.8 , 0.0 , 0.0 , 0.0 , 0.0 , 69.9 , 33.0 , 48.7 , 82.6 , 54.5 , 71.7 , 42.6 
2,김서현,23한, 152.6 , 20 , 22.1 , 152.6 , 134.5 , 128.4 , 141.9 , 143.5 , 150.4 ,  ,  , 51.6 , 34.0 , 3.4 , 4.2 , 2.3 , 4.4 , 0.0 , 0.0 , 52.7 , 28.2 , 35.9 , 87.3 , 56.5 , 70.8 , 31.5 
3,고우석,23L, 152.5 , 44 , 44.0 , 152.5 , 145.2 , 133.5 , 144.7 ,  ,  ,  ,  , 57.1 , 26.2 , 16.4 , 0.4 , 0.0 , 0.0 , 0.0 , 0.0 , 68.0 , 31.4 , 47.2 , 82.5 , 46.2 , 68.7 , 43.1 
4,문동주,23한, 151.6 , 23 , 118.2 , 151.6 , 139.7 , 125.6 , 140.2 ,  ,  ,  ,  , 54.4 , 16.7 , 25.0 , 3.9 , 0.0 , 0.0 , 0.0 , 0.0 , 63.0 , 29.1 , 44.2 , 87.8 , 62.8 , 78.7 , 44.6 
5,이민석,23롯, 150.8 , 1 , 1.1 , 150.8 , 137.9 , 121.0 ,  ,  ,  ,  ,  , 48.1 , 44.4 , 7.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 71.4 , 30.0 , 40.7 , 100.0 , 50.0 , 72.7 , 25.9 
6,알칸타라,23두, 150.7 , 31 , 192.0 , 150.7 , 135.8 , 123.9 , 132.3 , 135.2 ,  ,  , 121.0 , 49.8 , 17.6 , 2.4 , 0.1 , 30.1 , 0.0 , 0.0 , 0.0 , 67.4 , 33.8 , 49.5 , 86.3 , 68.6 , 79.9 , 46.8 
7,서상준,23S, 150.0 , 2 , 2.0 , 150.0 , 132.7 ,  ,  , 137.0 ,  ,  ,  , 81.8 , 12.7 , 0.0 , 0.0 , 5.5 , 0.0 , 0.0 , 0.0 , 60.0 , 28.9 , 34.5 , 83.3 , 84.6 , 84.2 , 18.2 
8,수아레즈,23삼, 149.9 , 19 , 108.0 , 149.9 , 135.6 , 124.1 , 134.7 ,  , 148.3 ,  ,  , 29.4 , 22.1 , 7.2 , 20.1 , 0.0 , 21.2 , 0.0 , 0.0 , 70.0 , 33.1 , 49.7 , 83.2 , 64.8 , 76.4 , 44.8 
9,유승철,23K, 149.8 , 1 , 1.0 , 149.8 , 140.0 , 128.0 ,  ,  ,  ,  ,  , 78.9 , 10.5 , 10.5 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 83.3 , 38.5 , 52.6 , 100.0 , 100.0 , 100.0 , 31.6 
10,스미스,23한, 149.3 , 1 , 2.2 , 149.3 , 130.6 , 123.6 , 130.3 ,  , 145.4 ,  ,  , 40.0 , 11.7 , 11.7 , 10.0 , 0.0 , 26.7 , 0.0 , 0.0 , 70.4 , 39.4 , 53.3 , 57.9 , 84.6 , 68.8 , 45.0 
11,페디,23N, 149.0 , 30 , 180.1 , 149.0 , 142.0 , 131.1 , 140.6 ,  , 149.9 ,  ,  , 0.0 , 20.9 , 31.3 , 12.7 , 0.0 , 35.1 , 0.0 , 0.0 , 58.7 , 33.8 , 44.8 , 85.8 , 63.0 , 76.3 , 44.4 
12,장재영,23키, 148.9 , 23 , 71.2 , 148.9 , 135.7 , 130.1 ,  ,  ,  ,  ,  , 59.1 , 27.4 , 13.6 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 57.9 , 21.4 , 36.4 , 87.7 , 62.6 , 79.0 , 41.0 
13,엘리아스,23S, 148.8 , 22 , 131.1 , 148.8 , 130.5 , 125.9 , 136.9 ,  ,  ,  ,  , 50.6 , 1.7 , 20.5 , 27.2 , 0.0 , 0.0 , 0.0 , 0.0 , 63.8 , 33.4 , 46.8 , 88.5 , 65.9 , 79.5 , 44.2 
14,산체스,23한, 148.6 , 24 , 126.0 , 148.6 , 136.8 , 126.9 , 138.9 ,  , 147.7 ,  ,  , 51.5 , 22.2 , 11.0 , 14.5 , 0.0 , 0.8 , 0.0 , 0.0 , 65.1 , 30.1 , 46.1 , 89.1 , 67.0 , 81.2 , 45.6 
15,성동현,23L, 148.2 , 1 , 1.0 , 148.2 , 134.7 ,  ,  ,  ,  ,  ,  , 50.0 , 50.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 75.0 , 25.0 , 45.0 , 83.3 , 33.3 , 66.7 , 40.0 
16,박상원,23한, 148.1 , 55 , 61.2 , 148.1 , 133.8 ,  ,  , 134.5 ,  ,  ,  , 55.1 , 13.0 , 0.0 , 0.0 , 31.9 , 0.0 , 0.0 , 0.0 , 67.4 , 30.6 , 46.5 , 82.6 , 64.1 , 75.6 , 43.2 
,이영하,23두, 148.1 , 36 , 39.1 , 148.1 , 136.0 , 123.8 ,  , 131.9 ,  ,  ,  , 49.6 , 37.1 , 2.7 , 0.0 , 10.6 , 0.0 , 0.0 , 0.0 , 65.0 , 28.4 , 43.7 , 91.0 , 62.3 , 80.2 , 41.8 
18,김범수,23한, 148.0 , 76 , 62.1 , 148.0 , 136.6 , 121.5 , 136.1 ,  ,  ,  ,  , 42.9 , 40.9 , 9.4 , 6.8 , 0.0 , 0.0 , 0.0 , 0.0 , 64.6 , 27.8 , 43.2 , 87.9 , 62.1 , 78.3 , 41.9 
,이로운,23S, 148.0 , 50 , 57.2 , 148.0 , 133.4 , 127.9 , 125.2 , 120.0 ,  ,  ,  , 55.4 , 28.7 , 0.7 , 15.0 , 0.2 , 0.0 , 0.0 , 0.0 , 69.0 , 28.9 , 44.4 , 87.1 , 61.9 , 77.0 , 38.5 
20,하영민,23키, 147.9 , 57 , 52.1 , 147.9 , 137.9 , 122.4 , 134.5 , 134.0 , 146.4 ,  ,  , 33.7 , 41.2 , 18.0 , 6.5 , 0.1 , 0.5 , 0.0 , 0.0 , 69.2 , 31.9 , 47.6 , 87.1 , 52.9 , 73.9 , 42.1 
21,곽빈,23두, 147.8 , 23 , 127.1 , 147.8 , 136.8 , 118.2 , 129.7 , 130.0 ,  ,  ,  , 43.3 , 22.7 , 18.2 , 15.8 , 0.0 , 0.0 , 0.0 , 0.0 , 63.5 , 29.4 , 43.9 , 86.0 , 60.8 , 76.3 , 42.4 
,류진욱,23N, 147.8 , 70 , 67.0 , 147.8 , 139.7 , 148.0 ,  , 138.0 ,  ,  ,  , 55.7 , 18.6 , 0.1 , 0.0 , 25.6 , 0.0 , 0.0 , 0.0 , 64.5 , 25.6 , 42.2 , 85.2 , 71.1 , 80.3 , 42.7 
23,김진호,23N, 147.7 , 19 , 16.1 , 147.7 , 128.0 ,  , 128.2 ,  , 151.3 ,  ,  , 60.2 , 3.8 , 0.0 , 35.0 , 0.0 , 1.0 , 0.0 , 0.0 , 62.5 , 28.0 , 42.0 , 78.8 , 67.3 , 74.2 , 40.8 
,한승혁,23한, 147.7 , 21 , 36.1 , 147.7 , 135.6 , 120.1 ,  , 136.7 , 145.8 ,  ,  , 25.8 , 21.2 , 14.5 , 0.0 , 15.4 , 23.0 , 0.0 , 0.1 , 69.0 , 27.3 , 44.4 , 86.1 , 62.7 , 77.6 , 41.1 
25,정철원,23두, 147.6 , 67 , 72.2 , 147.6 , 132.4 , 134.2 ,  , 130.7 ,  ,  ,  , 62.0 , 22.1 , 0.4 , 0.0 , 15.5 , 0.0 , 0.0 , 0.0 , 69.4 , 28.8 , 45.1 , 88.3 , 65.7 , 79.7 , 40.2 
26,김대현,23L, 147.4 , 5 , 3.1 , 147.4 , 132.8 , 124.0 ,  , 133.9 , 145.0 ,  ,  , 49.4 , 13.8 , 2.3 , 0.0 , 33.3 , 1.1 , 0.0 , 0.0 , 74.4 , 37.0 , 55.1 , 90.6 , 76.5 , 85.7 , 48.3 
