순,이름,팀/포지션,정렬용,출장,이닝,구종가치_직구,구종가치_슬라,구종가치_커브,구종가치_첸졉,구종가치_스플,구종가치_싱커,구종가치_너클,구종가치_기타,직구/100,슬라/100,커브/100,첸졉/100,스플/100,싱커/100,너클/100,기타/100
1,안우진,23키, 27.8 , 24 , 150.2 , 27.8 , 11.4 , 3.2 , 0.7 , 0.0 , 0.0 , 0.0 , 0.0 , 2.35 , 1.86 , 0.96 , 0.34 ,  ,  ,  ,  
2,알칸타라,23두, 24.9 , 31 , 192.0 , 24.9 , 1.9 , 1.0 , 0.1 , 8.1 , 0.0 , 0.0 , -0.0 , 1.68 , 0.36 , 1.42 , 2.77 , 0.90 ,  ,  , -0.03 
3,손동현,23K, 18.4 , 64 , 73.2 , 18.4 , 0.4 , 1.4 , 0.0 , -5.3 , 0.0 , 0.0 , 0.0 , 2.80 , 0.20 , 1.15 ,  , -5.26 ,  ,  ,  
4,김재윤,23K, 18.4 , 59 , 65.2 , 18.4 , 1.6 , -0.5 , 0.0 , 0.3 , 0.0 , 0.0 , 0.0 , 2.57 , 0.86 , -18.17 ,  , 0.35 ,  ,  ,  
5,박영현,23K, 18.1 , 68 , 75.1 , 18.1 , -0.7 , 0.0 , 1.8 , 0.0 , 0.0 , 0.0 , 0.0 , 2.47 , -0.49 ,  , 0.51 ,  ,  ,  ,  
6,브랜든,23두, 16.8 , 18 , 104.2 , 16.8 , 5.2 , 2.9 , 1.0 , 0.0 , 0.0 , 0.0 , 0.0 , 2.46 , 0.64 , 3.90 , 0.76 ,  ,  ,  ,  
7,이정용,23L, 15.5 , 37 , 86.2 , 15.5 , -11.4 , -3.7 , 0.0 , 2.5 , 0.0 , 0.0 , 0.0 , 2.15 , -4.76 , -2.60 ,  , 0.80 ,  ,  ,  
8,문동주,23한, 14.4 , 23 , 118.2 , 14.4 , -3.3 , 4.9 , -1.3 , 0.0 , 0.0 , 0.0 , 0.0 , 1.30 , -0.96 , 0.96 , -1.70 ,  ,  ,  ,  
9,플럿코,23L, 13.7 , 21 , 123.1 , 13.7 , 13.4 , 1.5 , 0.7 , 0.0 , 0.0 , 0.0 , 0.0 , 1.81 , 1.63 , 0.71 , 0.40 ,  ,  ,  ,  
10,후라도,23키, 12.9 , 30 , 183.2 , 12.9 , 2.1 , 1.9 , 8.5 , 0.0 , 12.9 , 0.0 , 0.0 , 1.71 , 0.47 , 0.48 , 1.88 ,  , 1.77 ,  ,  
