순,이름,팀/포지션,정렬용,등판,이닝,ERA,승,패,홀드,세,BLSV,BLH,BL+,세%,R-Pnt,SVP,터프_홀드,터프_세,터프_블론,IR,IS,Rel%,enLI,avLI%,구원WAR,구원WPA
1,서진용,23S, 3.63 , 69 , 72.2 , 2.48 , 5 , 4 , 0 , 40 , 6 , 0 , 6 , 87.0 , 112 , 45 , 0 , 2 , 1 , 8 , 1 , 12.5 , 1.76 , 2.45 , 3.63 , 2.73 
2,김진성,23L, 2.96 , 80 , 70.1 , 2.18 , 5 , 1 , 21 , 4 , 2 , 2 , 4 , 66.7 , 17 , 9 , 4 , 1 , 1 , 49 , 16 , 32.7 , 1.37 , 1.27 , 2.96 , 1.81 
3,김재윤,23K, 2.86 , 59 , 65.2 , 2.60 , 5 , 5 , 0 , 32 , 4 , 0 , 4 , 88.9 , 90 , 37 , 0 , 2 , 1 , 15 , 6 , 40.0 , 1.70 , 2.00 , 2.86 , 2.30 
4,박영현,23K, 2.75 , 68 , 75.1 , 2.75 , 3 , 3 , 32 , 4 , 6 , 0 , 6 , 40.0 , 1 , 7 , 4 , 1 , 1 , 36 , 9 , 25.0 , 1.53 , 1.65 , 2.75 , 1.79 
5,함덕주,23L, 2.63 , 57 , 55.2 , 1.62 , 4 , 0 , 16 , 4 , 0 , 1 , 1 , 100.0 , 21 , 8 , 1 , 1 , 0 , 27 , 6 , 22.2 , 1.55 , 1.43 , 2.63 , 2.27 
6,류진욱,23N, 2.62 , 70 , 67.0 , 2.15 , 1 , 4 , 22 , 0 , 1 , 0 , 1 , 0.0 , -8 , 1 , 4 , 0 , 0 , 30 , 8 , 26.7 , 1.19 , 1.24 , 2.62 , 1.13 
7,주현상,23한, 2.58 , 55 , 59.2 , 1.96 , 2 , 2 , 12 , 0 , 1 , 0 , 1 , 0.0 , -2 , 2 , 0 , 0 , 0 , 26 , 8 , 30.8 , 1.12 , 0.96 , 2.58 , 1.41 
8,노경은,23S, 2.35 , 76 , 83.0 , 3.58 , 8 , 5 , 29 , 2 , 7 , 2 , 9 , 22.2 , -2 , 10 , 6 , 0 , 3 , 42 , 14 , 33.3 , 1.77 , 1.78 , 2.35 , 1.76 
9,임기영,23K, 2.19 , 64 , 82.0 , 2.96 , 4 , 4 , 16 , 3 , 1 , 0 , 1 , 75.0 , 8 , 7 , 0 , 1 , 1 , 28 , 13 , 46.4 , 1.21 , 1.04 , 2.19 , 0.38 
10,최지민,23K, 2.18 , 58 , 59.1 , 2.12 , 6 , 3 , 12 , 3 , 2 , 4 , 6 , 60.0 , 12 , 9 , 1 , 1 , 1 , 53 , 24 , 45.3 , 1.32 , 1.18 , 2.18 , 0.25 
11,백승현,23L, 2.07 , 42 , 40.0 , 1.58 , 2 , 0 , 11 , 3 , 1 , 0 , 1 , 75.0 , 13 , 5 , 0 , 2 , 1 , 18 , 3 , 16.7 , 1.36 , 1.36 , 2.07 , 1.90 
12,전상현,23K, 1.97 , 64 , 58.2 , 2.15 , 8 , 3 , 13 , 1 , 2 , 0 , 2 , 33.3 , 9 , 9 , 4 , 0 , 2 , 47 , 10 , 21.3 , 1.41 , 1.49 , 1.97 , 1.79 
13,김원중,23롯, 1.95 , 63 , 63.2 , 2.97 , 5 , 6 , 0 , 30 , 5 , 0 , 5 , 85.7 , 80 , 35 , 0 , 2 , 3 , 28 , 14 , 50.0 , 1.72 , 1.80 , 1.95 , -0.21 
14,임창민,23키, 1.89 , 51 , 46.2 , 2.51 , 2 , 2 , 1 , 26 , 4 , 0 , 4 , 86.7 , 71 , 28 , 0 , 1 , 0 , 17 , 8 , 47.1 , 1.85 , 2.15 , 1.89 , 0.55 
15,손동현,23K, 1.83 , 64 , 73.2 , 3.42 , 8 , 5 , 15 , 1 , 4 , 0 , 4 , 20.0 , 1 , 9 , 0 , 0 , 1 , 33 , 12 , 36.4 , 1.36 , 1.31 , 1.83 , 1.10 
16,김영규,23N, 1.82 , 63 , 61.2 , 3.07 , 2 , 4 , 24 , 0 , 2 , 0 , 2 , 0.0 , -8 , 2 , 5 , 0 , 1 , 46 , 16 , 34.8 , 1.30 , 1.18 , 1.82 , 1.08 
17,오승환,23삼, 1.79 , 57 , 57.2 , 3.28 , 4 , 4 , 2 , 30 , 3 , 1 , 4 , 90.9 , 87 , 34 , 1 , 3 , 1 , 28 , 12 , 42.9 , 1.72 , 1.97 , 1.79 , 0.74 
18,정해영,23K, 1.76 , 52 , 49.1 , 2.92 , 3 , 4 , 1 , 23 , 3 , 0 , 3 , 88.5 , 62 , 26 , 0 , 1 , 2 , 17 , 5 , 29.4 , 1.61 , 2.00 , 1.76 , 0.71 
19,김명신,23두, 1.59 , 70 , 79.0 , 3.65 , 3 , 3 , 24 , 1 , 1 , 1 , 2 , 50.0 , 2 , 4 , 3 , 1 , 0 , 47 , 14 , 29.8 , 1.36 , 1.19 , 1.59 , 1.63 
20,최준용,23롯, 1.56 , 47 , 47.2 , 2.46 , 2 , 3 , 14 , 0 , 4 , 0 , 4 , 0.0 , -10 , 2 , 1 , 0 , 1 , 20 , 2 , 10.0 , 1.12 , 1.21 , 1.56 , -0.23 
21,유영찬,23L, 1.55 , 67 , 68.0 , 3.44 , 6 , 3 , 12 , 1 , 2 , 0 , 2 , 33.3 , 5 , 7 , 2 , 0 , 1 , 26 , 10 , 38.5 , 1.18 , 1.19 , 1.55 , -0.13 
22,이태양,23한, 1.37 , 38 , 50.0 , 2.70 , 1 , 0 , 2 , 0 , 0 , 0 , 0 ,  , 2 , 1 , 0 , 0 , 0 , 15 , 10 , 66.7 , 0.61 , 0.81 , 1.37 , 0.67 
23,김상수,23롯, 1.21 , 66 , 52.0 , 3.12 , 4 , 2 , 18 , 1 , 3 , 1 , 4 , 25.0 , 1 , 5 , 6 , 0 , 1 , 39 , 5 , 12.8 , 1.38 , 1.32 , 1.21 , 0.60 
24,한승주,23한, 1.19 , 41 , 50.0 , 3.24 , 1 , 1 , 2 , 0 , 0 , 1 , 1 ,  , 0 , 1 , 0 , 0 , 0 , 24 , 11 , 45.8 , 0.57 , 0.63 , 1.19 , -0.26 
25,이용찬,23N, 1.18 , 60 , 61.0 , 4.13 , 4 , 4 , 0 , 29 , 6 , 0 , 6 , 82.9 , 77 , 33 , 0 , 2 , 0 , 18 , 3 , 16.7 , 1.69 , 1.84 , 1.18 , 1.31 
26,홍건희,23두, 1.18 , 64 , 61.2 , 3.07 , 1 , 5 , 5 , 22 , 2 , 1 , 3 , 91.7 , 55 , 23 , 0 , 1 , 1 , 12 , 3 , 25.0 , 1.41 , 1.61 , 1.18 , -1.08 
27,박치국,23두, 1.16 , 62 , 52.2 , 3.59 , 5 , 3 , 11 , 2 , 2 , 0 , 2 , 50.0 , 7 , 7 , 3 , 1 , 0 , 45 , 13 , 28.9 , 1.41 , 1.31 , 1.16 , 0.00 
28,정철원,23두, 1.13 , 67 , 72.2 , 3.96 , 7 , 6 , 11 , 13 , 9 , 1 , 10 , 59.1 , 25 , 20 , 3 , 2 , 5 , 43 , 16 , 37.2 , 1.79 , 1.75 , 1.13 , 0.20 
29,김성진,23키, 1.11 , 55 , 47.0 , 3.64 , 3 , 3 , 7 , 0 , 3 , 0 , 3 , 0.0 , -6 , 3 , 1 , 0 , 0 , 14 , 7 , 50.0 , 0.95 , 0.88 , 1.11 , -0.47 
30,윤대경,23한, 1.11 , 47 , 47.2 , 2.46 , 5 , 1 , 2 , 0 , 1 , 0 , 1 , 0.0 , 6 , 5 , 1 , 0 , 0 , 10 , 2 , 20.0 , 0.73 , 0.64 , 1.11 , 0.59 
31,주권,23K, 1.08 , 39 , 40.2 , 3.32 , 1 , 0 , 5 , 0 , 0 , 0 , 0 ,  , 2 , 1 , 0 , 0 , 0 , 19 , 12 , 63.2 , 0.64 , 0.63 , 1.08 , 0.00 
32,이승현,23삼, 1.03 , 60 , 60.0 , 3.60 , 4 , 3 , 14 , 0 , 1 , 0 , 1 , 0.0 , 0 , 4 , 0 , 0 , 1 , 28 , 10 , 35.7 , 1.10 , 1.09 , 1.03 , -0.04 
