순,이름,팀/포지션,정렬용,출장,이닝,ERA,WHIP,득점%,LOB%,병살타,병살상황,병살%,희번,희번실패,희번%,<2&3B_N,<2&3B_%,0&2B_N,0&2_%,ADV_N,ADV_%
1,조영건,23키, 100.0 , 6 , 7.2 , 0.00 , 0.91 , 0.0 , 100.0 , 1 , 2 , 50.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 1 , 16.7 
,석상호,23롯, 100.0 , 5 , 5.1 , 0.00 , 1.13 , 0.0 , 100.0 , 1 , 5 , 20.0 , 1 , 0 , 100.0 , 1 , 100.0 , 0 ,  , 0 , 0.0 
,백승우,23두, 100.0 , 6 , 4.0 , 0.00 , 1.50 , 0.0 , 100.0 , 1 , 2 , 50.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 2 , 40.0 
,이민석,23롯, 100.0 , 1 , 1.1 , 0.00 , 0.75 , 0.0 , 100.0 , 0 , 0 ,  , 0 , 0 ,  , 0 ,  , 0 ,  , 0 ,  
,서동민,23S, 100.0 , 2 , 1.0 , 0.00 , 3.00 , 0.0 , 100.0 , 0 , 1 , 0.0 , 0 , 1 , 0.0 , 0 ,  , 0 ,  , 0 , 0.0 
,박영완,23롯, 100.0 , 1 , 1.0 , 0.00 , 1.00 , 0.0 , 100.0 , 1 , 1 , 100.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,하준수,23N, 100.0 , 1 , 1.0 , 0.00 , 2.00 , 0.0 , 100.0 , 0 , 2 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,송승기,23L, 100.0 , 1 , 1.0 , 0.00 , 2.00 , 0.0 , 100.0 , 0 , 3 , 0.0 , 0 , 0 ,  , 0 ,  , 0 , 0.0 , 0 , 0.0 
,유승철,23K, 100.0 , 1 , 1.0 , 0.00 , 1.00 , 0.0 , 100.0 , 0 , 1 , 0.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
,이우석,23N, 100.0 , 1 , 0.2 , 0.00 , 1.50 , 0.0 , 100.0 , 1 , 1 , 100.0 , 0 , 0 ,  , 0 ,  , 0 ,  , 0 , 0.0 
