순,이름,팀/포지션,정렬용,등판,이닝,ERA,승,패,QS,QS%,QS+,QS+%,QK,TL,CW,득점지원,등판시팀승,등판시팀패,등판시승률,구원지원BW,구원지원BL,구원지원LIR,구원지원LIS,구원지원%,AGS%,IP/GS,P/GS,선발WAR,선발WPA
1,페디,23N, 7.29 , 30 , 180.1 , 2.00 , 20 , 6 , 21 , 70.0 , 8 , 26.7 , 7 , 2 , 3 , 6.49 , 20 , 10 , 66.7 , 2 , 0 , 5 , 2 , 40.0 , 62.90 , 6.01 , 96.47 , 7.29 , 4.53 
2,고영표,23K, 6.06 , 27 , 174.0 , 2.79 , 12 , 7 , 21 , 77.8 , 17 , 63.0 , 2 , 2 , 0 , 4.14 , 16 , 10 , 61.5 , 3 , 1 , 4 , 0 , 0.0 , 56.15 , 6.44 , 90.44 , 6.06 , 3.42 
3,후라도,23키, 6.03 , 30 , 183.2 , 2.65 , 11 , 8 , 20 , 66.7 , 7 , 23.3 , 6 , 5 , 3 , 4.70 , 13 , 15 , 46.4 , 6 , 2 , 8 , 2 , 25.0 , 57.17 , 6.12 , 93.17 , 6.03 , 3.19 
4,알칸타라,23두, 5.51 , 31 , 192.0 , 2.67 , 13 , 8 , 21 , 67.7 , 10 , 32.3 , 2 , 2 , 0 , 5.02 , 17 , 13 , 56.7 , 3 , 1 , 7 , 0 , 0.0 , 56.10 , 6.19 , 96.03 , 5.51 , 2.85 
5,안우진,23키, 5.20 , 24 , 150.2 , 2.39 , 9 , 7 , 16 , 66.7 , 8 , 33.3 , 4 , 3 , 1 , 3.35 , 13 , 10 , 56.5 , 5 , 0 , 9 , 5 , 55.6 , 61.42 , 6.28 , 97.58 , 5.20 , 3.46 
6,뷰캐넌,23삼, 5.10 , 30 , 188.0 , 2.54 , 12 , 8 , 21 , 70.0 , 12 , 40.0 , 3 , 4 , 1 , 4.50 , 17 , 13 , 56.7 , 2 , 2 , 5 , 2 , 40.0 , 56.67 , 6.27 , 99.33 , 5.10 , 2.12 
7,곽빈,23두, 4.18 , 23 , 127.1 , 2.90 , 12 , 7 , 13 , 56.5 , 5 , 21.7 , 5 , 2 , 3 , 4.67 , 15 , 8 , 65.2 , 1 , 0 , 8 , 6 , 75.0 , 56.26 , 5.54 , 96.61 , 4.18 , 2.46 
8,쿠에바스,23K, 4.08 , 18 , 114.1 , 2.60 , 12 , 0 , 14 , 77.8 , 10 , 55.6 , 1 , 0 , 0 , 5.83 , 14 , 4 , 77.8 , 2 , 4 , 7 , 3 , 42.9 , 60.06 , 6.35 , 92.56 , 4.08 , 2.49 
9,플럿코,23L, 3.86 , 21 , 123.1 , 2.41 , 11 , 3 , 15 , 71.4 , 3 , 14.3 , 3 , 1 , 3 , 5.55 , 14 , 5 , 73.7 , 0 , 2 , 6 , 0 , 0.0 , 56.95 , 5.87 , 93.76 , 3.86 , 1.61 
10,반즈,23롯, 3.60 , 30 , 170.1 , 3.28 , 11 , 10 , 18 , 60.0 , 7 , 23.3 , 5 , 4 , 2 , 4.54 , 17 , 13 , 56.7 , 5 , 2 , 22 , 4 , 18.2 , 53.40 , 5.68 , 91.57 , 3.60 , 1.54 
