순,이름,팀/포지션,정렬용,출장,이닝,선발RAA,구원RAA,종합RAA,대체RUN선발,대체RUN구원,대체RUN종합,선발RAR,구원RAR,종합RAR,선발WAA,구원WAA,종합WAA,선발WAR,구원WAR,종합WAR,fWAR,RA9-WAR
1,페디,23N, 7.29 , 30 , 180.1 , 44.03 ,  , 44.03 , 20.75 , 0.00 , 25.94 , 69.97 ,  , 69.97 , 4.89 ,  , 4.89 , 7.29 ,  , 7.29 , 7.29 , 7.29 
2,고영표,23K, 6.14 , 28 , 174.2 , 34.63 , 0.36 , 34.99 , 20.37 , 0.08 , 25.64 , 60.09 , 0.82 , 60.91 , 3.74 , 0.06 , 3.81 , 6.06 , 0.07 , 6.14 , 6.14 , 6.14 
3,후라도,23키, 6.03 , 30 , 183.2 , 33.73 ,  , 33.73 , 21.80 , 0.00 , 27.25 , 60.99 ,  , 60.99 , 3.58 ,  , 3.58 , 6.03 ,  , 6.03 , 6.03 , 6.03 
4,알칸타라,23두, 5.51 , 31 , 192.0 , 28.68 ,  , 28.68 , 23.19 , 0.00 , 28.99 , 57.67 ,  , 57.67 , 2.95 ,  , 2.95 , 5.51 ,  , 5.51 , 5.51 , 5.51 
5,안우진,23키, 5.20 , 24 , 150.2 , 29.69 ,  , 29.69 , 17.71 , 0.00 , 22.13 , 51.82 ,  , 51.82 , 3.19 ,  , 3.19 , 5.20 ,  , 5.20 , 5.20 , 5.20 
6,뷰캐넌,23삼, 5.10 , 30 , 188.0 , 25.55 ,  , 25.55 , 22.85 , 0.00 , 28.57 , 54.12 ,  , 54.12 , 2.59 ,  , 2.59 , 5.10 ,  , 5.10 , 5.10 , 5.10 
7,곽빈,23두, 4.18 , 23 , 127.1 , 23.58 ,  , 23.58 , 15.25 , 0.00 , 19.06 , 42.64 ,  , 42.64 , 2.48 ,  , 2.48 , 4.18 ,  , 4.18 , 4.18 , 4.18 
8,쿠에바스,23K, 4.08 , 18 , 114.1 , 23.57 ,  , 23.57 , 13.35 , 0.00 , 16.69 , 40.26 ,  , 40.26 , 2.56 ,  , 2.56 , 4.08 ,  , 4.08 , 4.08 , 4.08 
9,플럿코,23L, 3.86 , 21 , 123.1 , 21.22 ,  , 21.22 , 14.79 , 0.00 , 18.49 , 39.70 ,  , 39.70 , 2.22 ,  , 2.22 , 3.86 ,  , 3.86 , 3.86 , 3.86 
10,서진용,23S, 3.63 , 69 , 72.2 ,  , 16.04 , 16.04 , 0.00 , 9.30 , 20.05 ,  , 47.72 , 47.72 , 0.00 , 2.66 , 2.66 , 0.00 , 3.63 , 3.63 , 3.63 , 3.63 
11,반즈,23롯, 3.60 , 30 , 170.1 , 14.26 ,  , 14.26 , 21.37 , 0.00 , 26.71 , 40.98 ,  , 40.98 , 1.33 ,  , 1.33 , 3.60 ,  , 3.60 , 3.60 , 3.60 
12,페냐,23한, 3.53 , 32 , 177.1 , 12.83 ,  , 12.83 , 22.38 , 0.00 , 27.98 , 40.81 ,  , 40.81 , 1.17 ,  , 1.17 , 3.53 ,  , 3.53 , 3.53 , 3.53 
13,원태인,23삼, 3.47 , 26 , 150.0 , 15.26 ,  , 15.26 , 18.65 , 0.00 , 23.31 , 38.56 ,  , 38.56 , 1.47 ,  , 1.47 , 3.47 ,  , 3.47 , 3.47 , 3.47 
14,김광현,23S, 3.30 , 30 , 168.1 , 11.74 ,  , 11.74 , 21.26 , 0.00 , 26.58 , 38.32 ,  , 38.32 , 1.06 ,  , 1.06 , 3.30 ,  , 3.30 , 3.30 , 3.30 
15,브랜든,23두, 3.19 , 18 , 104.2 , 17.23 ,  , 17.23 , 12.61 , 0.00 , 15.76 , 32.99 ,  , 32.99 , 1.79 ,  , 1.79 , 3.19 ,  , 3.19 , 3.19 , 3.19 
16,박세웅,23롯, 3.11 , 27 , 154.0 , 11.58 ,  , 11.58 , 19.39 , 0.00 , 24.24 , 35.83 ,  , 35.83 , 1.06 ,  , 1.06 , 3.11 ,  , 3.11 , 3.11 , 3.11 
17,김진성,23L, 2.96 , 80 , 70.1 ,  , 18.98 , 18.98 , 0.00 , 9.00 , 12.73 ,  , 34.22 , 34.22 , 0.00 , 2.03 , 2.03 , 0.00 , 2.96 , 2.96 , 2.96 , 2.96 
18,김재윤,23K, 2.86 , 59 , 65.2 ,  , 13.97 , 13.97 , 0.00 , 8.40 , 15.72 ,  , 36.65 , 36.65 , 0.00 , 1.98 , 1.98 , 0.00 , 2.86 , 2.86 , 2.86 , 2.86 
