순,이름,팀/포지션,정렬용,출장,이닝,RE24타격,RE24주루,RE24,REW,WPA타격,WPA주루,WPAPlus,WPAMinus,WPA,pLI,WPA/LI,Clutch
1,페디,23N, 4.53 , 30 , 180.1 , 54.35 , 0.83 , 55.18 , 5.58 , 4.45 , 0.08 , 13.20 , -8.67 , 4.53 , 0.93 , 4.63 , 0.22 
2,안우진,23키, 3.46 , 24 , 150.2 , 43.26 , -2.21 , 41.05 , 4.15 , 3.76 , -0.30 , 12.77 , -9.31 , 3.46 , 1.12 , 3.31 , -0.23 
3,고영표,23K, 3.34 , 28 , 174.2 , 39.46 , -0.08 , 39.38 , 3.98 , 3.45 , -0.11 , 14.84 , -11.51 , 3.34 , 1.06 , 3.00 , 0.14 
4,후라도,23키, 3.20 , 30 , 183.2 , 38.47 , -1.70 , 36.77 , 3.71 , 3.38 , -0.19 , 13.79 , -10.59 , 3.20 , 0.99 , 3.13 , 0.10 
5,알칸타라,23두, 2.85 , 31 , 192.0 , 35.81 , 1.82 , 37.63 , 3.80 , 2.66 , 0.20 , 14.62 , -11.77 , 2.85 , 1.00 , 3.07 , -0.22 
6,서진용,23S, 2.73 , 69 , 72.2 , 22.42 , -3.41 , 19.01 , 1.92 , 3.72 , -0.98 , 13.22 , -10.50 , 2.73 , 2.45 , 0.31 , 0.81 
7,쿠에바스,23K, 2.49 , 18 , 114.1 , 34.94 , -3.08 , 31.86 , 3.22 , 2.87 , -0.38 , 8.07 , -5.58 , 2.49 , 0.94 , 2.81 , -0.17 
8,곽빈,23두, 2.46 , 23 , 127.1 , 29.19 , 1.08 , 30.27 , 3.06 , 2.43 , 0.03 , 9.90 , -7.44 , 2.46 , 1.05 , 2.08 , 0.26 
9,김재윤,23K, 2.31 , 59 , 65.2 , 19.19 , -2.35 , 16.84 , 1.70 , 3.05 , -0.75 , 9.59 , -7.28 , 2.31 , 2.00 , 1.40 , -0.24 
10,함덕주,23L, 2.27 , 57 , 55.2 , 20.21 , -1.35 , 18.86 , 1.91 , 2.38 , -0.11 , 5.78 , -3.52 , 2.27 , 1.43 , 1.58 , 0.01 
11,뷰캐넌,23삼, 2.12 , 30 , 188.0 , 36.55 , -3.18 , 33.38 , 3.37 , 2.58 , -0.46 , 14.59 , -12.47 , 2.12 , 1.07 , 3.26 , -1.27 
12,백승현,23L, 1.90 , 42 , 40.0 , 18.19 , -0.56 , 17.63 , 1.78 , 1.96 , -0.05 , 4.10 , -2.20 , 1.90 , 1.36 , 0.94 , 0.46 
13,브랜든,23두, 1.88 , 18 , 104.2 , 25.28 , -0.98 , 24.30 , 2.45 , 1.97 , -0.10 , 7.43 , -5.55 , 1.88 , 0.96 , 2.39 , -0.43 
14,김진성,23L, 1.81 , 80 , 70.1 , 22.71 , 1.18 , 23.90 , 2.41 , 1.66 , 0.15 , 6.42 , -4.61 , 1.81 , 1.27 , 1.65 , -0.22 
15,전상현,23K, 1.80 , 64 , 58.2 , 16.37 , 0.70 , 17.08 , 1.73 , 1.71 , 0.08 , 6.53 , -4.73 , 1.80 , 1.49 , 0.83 , 0.37 
16,박영현,23K, 1.80 , 68 , 75.1 , 19.03 , -1.06 , 17.96 , 1.81 , 1.94 , -0.14 , 9.13 , -7.33 , 1.80 , 1.65 , 1.24 , -0.15 
