,이름,팀/포지션,타율,볼넷,삼진,병살,장타,출루,득점권타율,phLI,FO/GO,BB/K
265,이천웅,23L,1.0,0.0,0.0,0.0,1.0,1.0, 1.000 , 3.18 ,  ,  
78,김정민,23SRF,0.5,0.0,1.0,0.0,0.5,0.5, .000 ,  ,, 0.00 
252,이재용,23한C,0.5,0.0,1.0,0.0,0.5,0.5,  ,  ,  , 0.00 
140,박수종,23키RF,0.422,3.0,6.0,1.0,0.533,0.46, .222 ,  , 0.82 , 0.50 
129,박대온,23NC,0.4,0.0,1.0,0.0,0.6,0.5,  , 0.67 , 1.50 , 0.00 
102,나성범,23KRF,0.365,26.0,36.0,1.0,0.671,0.427, .349 , 0.90 , 1.14 , 0.72 
173,손아섭,23NDH,0.339,50.0,67.0,10.0,0.443,0.393, .339 , 1.51 , 0.64 , 0.75 
107,도슨,23키CF,0.336,18.0,41.0,3.0,0.454,0.399, .279 ,  , 0.88 , 0.44 
16,구자욱,23삼RF,0.336,53.0,81.0,5.0,0.494,0.407, .403 , 1.33 , 1.27 , 0.65 
98,김혜성,23키2B,0.335,57.0,77.0,6.0,0.446,0.396, .314 ,  , 1.17 , 0.74 
179,송재선,23키RF,0.333,0.0,1.0,0.0,0.333,0.333,  ,  , 0.00 , 0.00 
292,정보근,23롯C,0.333,14.0,13.0,2.0,0.469,0.433, .280 , 1.23 , 0.78 , 1.08 
158,박한결,23NLF,0.333,3.0,7.0,0.0,0.6,0.444, .333 , 0.93 ,  , 0.43 
147,박정우,23KRF,0.333,0.0,1.0,0.0,0.333,0.333, .333 , 1.21 , 0.67 , 0.00 
350,홍창기,23LRF,0.332,88.0,83.0,6.0,0.412,0.444, .361 , 0.83 , 0.69 , 1.06 
260,이주형,23L키CF,0.326,19.0,53.0,4.0,0.507,0.39, .339 , 0.19 , 1.30 , 0.36 
202,에레디아,23SLF,0.323,39.0,75.0,13.0,0.461,0.385, .338 ,  , 1.09 , 0.52 
55,김선빈,23K2B,0.321,38.0,26.0,10.0,0.359,0.382, .336 , 2.89 , 0.64 , 1.46 
126,박건우,23NRF,0.319,56.0,71.0,14.0,0.48,0.397, .304 , 2.12 , 1.34 , 0.79 
191,안익훈,23LRF,0.318,0.0,2.0,0.0,0.364,0.348, .333 ,  , 0.44 , 0.00 
258,이정후,23키CF,0.318,49.0,23.0,1.0,0.455,0.406, .303 , 0.18 , 1.08 , 2.13 
133,박민우,23N2B,0.316,40.0,57.0,13.0,0.405,0.381, .309 , 1.48 , 0.79 , 0.70 
58,김성윤,23삼RF,0.314,14.0,35.0,2.0,0.404,0.355, .298 , 1.31 , 0.57 , 0.40 
208,오스틴,23L1B,0.313,53.0,75.0,11.0,0.517,0.376, .299 , 1.81 , 1.64 , 0.71 
161,배영빈,23롯SS,0.313,1.0,2.0,0.0,0.438,0.353, .400 ,  , 0.80 , 0.50 
289,전준우,23롯DH,0.312,52.0,65.0,12.0,0.471,0.381, .292 , 2.36 , 1.16 , 0.80 
199,양의지,23두C,0.306,57.0,56.0,20.0,0.475,0.397, .315 , 1.58 , 1.85 , 1.02 
31,김도영,23K3B,0.303,38.0,62.0,14.0,0.453,0.371, .312 ,  , 0.88 , 0.61 
335,하재훈,23SLF,0.303,19.0,53.0,0.0,0.468,0.374, .327 , 1.76 , 1.72 , 0.36 
331,최형우,23KDH,0.302,65.0,83.0,5.0,0.487,0.4, .317 , 2.78 , 1.57 , 0.78 
