순,이름,팀/포지션,정렬용,타석,HR%,BB%,K%,BB/K,IsoP,IsoD,BABIP,Spd,PSN,wOBA,wRC,wRC/27,wRAA,조정wOBA,조정wRC,조정wRC/27,조정wRAA,WRC+
1,이천웅,23L, 519.2 , 3 , 0.00 , 0.0 , 0.0 ,  , .000 , .000 , 1.000 , 1.9 ,  , .955 , 1.8 ,  , 1.5 , .952 , 1.8 ,  , 1.5 , 519.2 
2,박대온,23NC, 219.1 , 6 , 0.00 , 0.0 , 16.7 , 0.00 , .200 , .100 , .500 , 3.9 ,  , .508 , 1.5 , 13.94 , 0.8 , .508 , 1.5 , 13.93 , 0.8 , 219.1 
3,나성범,23KRF, 208.2 , 253 , 7.12 , 10.3 , 14.2 , 0.72 , .306 , .062 , .366 , 3.8 , 0.00 , .485 , 60.8 , 11.25 , 31.0 , .491 , 62.0 , 11.47 , 32.2 , 208.2 
4,이재용,23한C, 202.8 , 2 , 0.00 , 0.0 , 50.0 , 0.00 , .000 , .000 , 1.000 , 3.9 ,  , .477 , 0.5 , 12.63 , 0.2 , .484 , 0.5 , 12.90 , 0.2 , 202.8 
5,김정민,23SRF, 199.3 , 2 , 0.00 , 0.0 , 50.0 , 0.00 , .000 , .000 , 1.000 , 3.9 ,  , .477 , 0.5 , 12.63 , 0.2 , .478 , 0.5 , 12.67 , 0.2 , 199.3 
6,박한결,23NLF, 191.8 , 18 , 5.56 , 16.7 , 38.9 , 0.43 , .267 , .111 , .571 , 2.8 , 0.00 , .471 , 4.1 , 11.12 , 2.0 , .467 , 4.1 , 10.98 , 1.9 , 191.8 
7,박수종,23키RF, 184.6 , 50 , 0.00 , 6.0 , 12.0 , 0.50 , .111 , .038 , .475 , 4.2 ,  , .458 , 10.9 , 10.53 , 5.0 , .457 , 10.9 , 10.48 , 5.0 , 184.6 
8,노시환,23한3B, 159.3 , 595 , 5.21 , 12.4 , 19.8 , 0.63 , .243 , .091 , .332 , 2.7 , 3.76 , .418 , 111.2 , 7.94 , 41.1 , .419 , 111.7 , 7.98 , 41.6 , 159.3 
9,최정,23S3B, 155.8 , 552 , 5.25 , 10.7 , 15.8 , 0.68 , .251 , .091 , .308 , 3.5 , 11.28 , .418 , 103.2 , 7.90 , 38.2 , .414 , 101.3 , 7.75 , 36.3 , 155.8 
10,오스틴,23L1B, 154.4 , 583 , 3.95 , 9.1 , 12.9 , 0.71 , .204 , .062 , .326 , 4.7 , 10.73 , .405 , 102.6 , 7.33 , 34.0 , .412 , 106.0 , 7.57 , 37.3 , 154.4 
11,최형우,23KDH, 153.8 , 508 , 3.35 , 12.8 , 16.3 , 0.78 , .186 , .098 , .337 , 2.6 , 0.00 , .409 , 91.0 , 7.93 , 31.2 , .411 , 92.0 , 8.01 , 32.2 , 153.8 
12,구자욱,23삼RF, 153.2 , 515 , 2.14 , 10.3 , 15.7 , 0.65 , .159 , .072 , .387 , 4.4 , 11.48 , .414 , 94.6 , 8.11 , 34.0 , .410 , 92.9 , 7.96 , 32.2 , 153.2 
13,홍창기,23LRF, 152.0 , 643 , 0.16 , 13.7 , 12.9 , 1.06 , .080 , .112 , .388 , 4.9 , 1.92 , .407 , 114.5 , 7.96 , 38.7 , .408 , 115.1 , 8.01 , 39.4 , 152.0 
14,양의지,23두C, 151.9 , 509 , 3.34 , 11.2 , 11.0 , 1.02 , .169 , .091 , .318 , 2.7 , 10.88 , .399 , 87.5 , 7.22 , 27.5 , .408 , 91.0 , 7.52 , 31.1 , 151.9 
15,이주형,23L키CF, 151.8 , 243 , 2.47 , 7.8 , 21.8 , 0.36 , .181 , .064 , .405 , 5.2 , 4.00 , .405 , 42.9 , 7.52 , 14.3 , .408 , 43.4 , 7.62 , 14.8 , 151.8 
16,박건우,23NRF, 148.0 , 533 , 2.25 , 10.5 , 13.3 , 0.79 , .162 , .078 , .349 , 3.5 , 8.84 , .403 , 93.3 , 7.39 , 30.5 , .402 , 92.9 , 7.36 , 30.1 , 148.0 
17,정보근,23롯C, 147.4 , 101 , 0.99 , 13.9 , 12.9 , 1.08 , .136 , .100 , .382 , 4.4 , 1.00 , .405 , 17.8 , 7.87 , 5.9 , .402 , 17.5 , 7.76 , 5.6 , 147.4 
18,도슨,23키CF, 145.3 , 261 , 1.15 , 6.9 , 15.7 , 0.44 , .118 , .062 , .390 , 5.9 , 4.50 , .397 , 44.4 , 7.39 , 13.6 , .398 , 44.7 , 7.44 , 13.9 , 145.3 
19,이정후,23키CF, 143.8 , 387 , 1.55 , 12.7 , 5.9 , 2.13 , .136 , .088 , .324 , 4.8 , 6.00 , .395 , 65.1 , 7.52 , 19.6 , .396 , 65.5 , 7.56 , 19.9 , 143.8 
20,김혜성,23키2B, 142.1 , 621 , 1.13 , 9.2 , 12.4 , 0.74 , .112 , .062 , .375 , 7.1 , 10.94 , .392 , 103.2 , 7.26 , 30.1 , .394 , 103.9 , 7.31 , 30.8 , 142.1 
21,전준우,23롯DH, 140.8 , 559 , 3.04 , 9.3 , 11.6 , 0.80 , .158 , .069 , .328 , 4.7 , 11.77 , .391 , 92.2 , 6.91 , 26.3 , .392 , 92.7 , 6.95 , 26.9 , 140.8 
22,에레디아,23SLF, 140.7 , 523 , 2.29 , 7.5 , 14.3 , 0.52 , .137 , .062 , .364 , 3.6 , 12.00 , .391 , 86.5 , 6.81 , 24.9 , .392 , 86.7 , 6.82 , 25.1 , 140.7 
23,손아섭,23NDH, 140.0 , 609 , 0.82 , 8.2 , 11.0 , 0.75 , .103 , .054 , .376 , 5.4 , 7.37 , .390 , 99.9 , 7.04 , 28.2 , .391 , 100.4 , 7.08 , 28.7 , 140.0 
24,하재훈,23SLF, 135.2 , 229 , 3.06 , 8.3 , 23.1 , 0.36 , .164 , .071 , .378 , 6.5 , 8.56 , .384 , 36.6 , 6.87 , 9.6 , .383 , 36.5 , 6.84 , 9.5 , 135.2 
25,로하스,23두LF, 134.3 , 464 , 4.10 , 11.9 , 14.7 , 0.81 , .221 , .092 , .260 , 3.8 , 0.00 , .372 , 69.6 , 6.07 , 15.0 , .382 , 73.4 , 6.39 , 18.8 , 134.3 
26,김도영,23K3B, 133.4 , 385 , 1.82 , 9.9 , 16.1 , 0.61 , .150 , .068 , .349 , 7.0 , 10.94 , .378 , 59.6 , 6.17 , 14.3 , .381 , 60.5 , 6.26 , 15.1 , 133.4 
27,문보경,23L3B, 132.4 , 542 , 1.85 , 10.7 , 15.3 , 0.70 , .147 , .076 , .345 , 5.5 , 9.47 , .376 , 82.9 , 6.31 , 19.1 , .379 , 84.5 , 6.43 , 20.7 , 132.4 
28,알포드,23KLF, 126.9 , 547 , 2.74 , 8.6 , 25.6 , 0.34 , .167 , .067 , .375 , 6.0 , 15.94 , .375 , 83.3 , 6.21 , 18.9 , .371 , 81.8 , 6.10 , 17.4 , 126.9 
29,마틴,23NCF, 126.5 , 503 , 3.38 , 11.3 , 21.3 , 0.53 , .172 , .077 , .330 , 4.7 , 15.94 , .373 , 75.7 , 6.14 , 16.5 , .371 , 74.9 , 6.08 , 15.7 , 126.5 
30,권희동,23NLF, 126.3 , 373 , 1.88 , 13.1 , 13.4 , 0.98 , .120 , .103 , .315 , 2.8 , 3.11 , .371 , 55.6 , 6.42 , 11.7 , .370 , 55.5 , 6.40 , 11.5 , 126.3 
31,소크라테스,23KCF, 125.7 , 608 , 3.29 , 8.6 , 13.2 , 0.65 , .177 , .059 , .299 , 5.1 , 17.14 , .366 , 88.6 , 5.72 , 17.0 , .369 , 90.0 , 5.81 , 18.4 , 125.7 
32,강민호,23삼C, 124.6 , 495 , 3.23 , 9.9 , 13.1 , 0.75 , .154 , .076 , .307 , 2.8 , 8.73 , .373 , 74.6 , 6.07 , 16.3 , .368 , 72.6 , 5.91 , 14.3 , 124.6 
33,최인호,23한LF, 124.5 , 148 , 1.35 , 6.8 , 14.9 , 0.46 , .130 , .065 , .343 , 5.6 , 1.33 , .364 , 21.3 , 5.92 , 3.8 , .368 , 21.7 , 6.04 , 4.3 , 124.5 
34,박민우,23N2B, 124.2 , 509 , 0.39 , 7.9 , 11.2 , 0.70 , .089 , .065 , .356 , 6.8 , 3.71 , .366 , 73.9 , 5.92 , 14.0 , .367 , 74.4 , 5.96 , 14.5 , 124.2 
35,양석환,23두1B, 124.1 , 581 , 3.61 , 6.9 , 22.9 , 0.30 , .174 , .052 , .331 , 3.5 , 6.72 , .358 , 80.6 , 5.48 , 12.2 , .367 , 84.9 , 5.78 , 16.5 , 124.1 
36,김형준,23NC, 123.1 , 82 , 7.32 , 9.8 , 29.3 , 0.33 , .278 , .085 , .262 , 0.6 , 0.00 , .371 , 12.2 , 5.60 , 2.6 , .366 , 11.9 , 5.44 , 2.2 , 123.1 
37,추신수,23SDH, 123.0 , 462 , 2.60 , 14.1 , 17.1 , 0.82 , .144 , .125 , .287 , 3.8 , 8.00 , .367 , 67.3 , 6.06 , 12.9 , .365 , 66.9 , 6.02 , 12.5 , 123.0 
38,박병호,23K1B, 122.7 , 493 , 3.65 , 9.3 , 23.1 , 0.40 , .160 , .074 , .339 , 2.5 , 3.60 , .368 , 72.5 , 6.01 , 14.5 , .365 , 71.2 , 5.90 , 13.2 , 122.7 
39,문성주,23LLF, 122.3 , 534 , 0.38 , 12.6 , 6.4 , 1.97 , .078 , .098 , .312 , 5.7 , 3.69 , .363 , 76.4 , 5.88 , 13.5 , .364 , 76.9 , 5.92 , 14.1 , 122.3 
40,오지환,23LSS, 121.9 , 502 , 1.59 , 12.8 , 16.3 , 0.78 , .128 , .104 , .313 , 5.6 , 10.67 , .360 , 70.7 , 5.82 , 11.6 , .364 , 72.1 , 5.93 , 12.9 , 121.9 
41,최항,23S1B, 121.6 , 35 , 2.86 , 14.3 , 34.3 , 0.42 , .143 , .097 , .438 , 0.4 , 0.00 , .366 , 5.1 , 5.96 , 1.0 , .363 , 5.0 , 5.88 , 0.9 , 121.6 
42,이민준,23한SS, 121.2 , 2 , 0.00 , 50.0 , 0.0 ,  , .000 , .500 , .000 , 1.9 ,  , .364 , 0.3 , 7.77 , 0.1 , .363 , 0.3 , 7.71 , 0.0 , 121.2 
43,정훈,23롯1B, 120.4 , 233 , 2.58 , 11.2 , 16.7 , 0.67 , .159 , .079 , .317 , 3.9 , 3.00 , .361 , 33.0 , 5.74 , 5.5 , .362 , 33.0 , 5.76 , 5.6 , 120.4 
